english,singular,plural,article,noun,x,y
Past,Die Vergangenheit,-,Die,Vergangenheit,vergangenheit,1
Farm,Die Farm,Die Farmen,Die,Farm,farm,1
Lap,Der Schoß,Die Schoß,Der,Schoß,schoß,0
Band,Die Band,Die Bands,Die,Band,band,1
Lawyer,Der Anwalt,Die Anwälte,Der,Anwalt,anwalt,0
Magazine,Das Magazin,Die Magazine,Das,Magazin,magazin,2
Branch,Der Ast,Die Äste,Der,Ast,ast,0
Frame,Der Rahmen,Die Rahmen,Der,Rahmen,rahmen,0
Deck,Das Deck,Die Decks,Das,Deck,deck,2
Effect,Die Wirkung,Die Wirkungen,Die,Wirkung,wirkung,1
Dance,Der Tanz,Die Tänze,Der,Tanz,tanz,0
Vision,Die Vision,Die Visionen,Die,Vision,vision,1
Ass,Der Hintern,Die Hintern,Der,Hintern,hintern,0
Character,Der Charakter,Die Charaktere,Der,Charakter,charakter,0
Goodbye,Der Abschied,-,Der,Abschied,abschied,0
Parking,Das Parken,-,Das,Parken,parken,2
Breakfast,Das Frühstück,Die Frühstücke,Das,Frühstück,frühstück,2
Gesture,Die Geste,Die Gesten,Die,Geste,geste,1
Luck,Das Glück,-,Das,Glück,glück,2
Gas,Das Gas,-,Das,Gas,gas,2
Corridor,Der Korridor,Die Korridore,Der,Korridor,korridor,0
Professor,Der Professor,Die Professoren,Der,Professor,professor,0
Mistake,Der Fehler,Die Fehler,Der,Fehler,fehler,0
University,Die Universität,Die Universitäten,Die,Universität,universität,1
Ocean,Der Ozean,Die Ozeane,Der,Ozean,ozean,0
Century,Das Jahrhundert,Die Jahrhunderte,Das,Jahrhundert,jahrhundert,2
Honey,Der Honig,-,Der,Honig,honig,0
Pile,Der Stapel,Die Stapel,Der,Stapel,stapel,0
Bowl,Die Schüssel,Die Schüsseln,Die,Schüssel,schüssel,1
Base,Die Basis,Die Basen,Die,Basis,basis,1
Fence,Der Zaun,Die Zäune,Der,Zaun,zaun,0
Rule,Die Regel,Die Regeln,Die,Regel,regel,1
Laughter,Das Lachen,-,Das,Lachen,lachen,2
Anger,Der Ärger,-,Der,Ärger,ärger,0
Sweat,Der Schweiß,-,Der,Schweiß,schweiß,0
Accident,Der Unfall,Die Unfälle,Der,Unfall,unfall,0
Weather,Das Wetter,-,Das,Wetter,wetter,2
Decision,Die Entscheidung,Die Entscheidungen,Die,Entscheidung,entscheidung,1
Angel,Der Engel,Die Engel,Der,Engel,engel,0
Strength,Die Stärke,Die Stärken,Die,Stärke,stärke,1
Chicken,Das Huhn,Die Hühner,Das,Huhn,huhn,2
Study,Das Studium,Die Studien,Das,Studium,studium,2
Wrist,Das Handgelenk,Die Handgelenke,Das,Handgelenk,handgelenk,2
Stop,Der Halt,Die Halte,Der,Halt,halt,0
Hip,Die Hüfte,Die Hüften,Die,Hüfte,hüfte,1
Government,Die Regierung,Die Regierungen,Die,Regierung,regierung,1
Belly,Der Bauch,Die Bäuche,Der,Bauch,bauch,0
Queen,Die Königin,Die Königinnen,Die,Königin,königin,1
Report,Der Bericht,Die Berichte,Der,Bericht,bericht,0
Tail,Der Schwanz,Die Schwänze,Der,Schwanz,schwanz,0
Plant,Die Pflanze,Die Pflanzen,Die,Pflanze,pflanze,1
Flame,Die Flamme,Die Flammen,Die,Flamme,flamme,1
Belt,Der Gürtel,Die Gürtel,Der,Gürtel,gürtel,0
Neighborhood,Die Nachbarschaft,Die Nachbarschaften,Die,Nachbarschaft,nachbarschaft,1
Energy,Die Energie,-,Die,Energie,energie,1
Green,Das Grün,-,Das,Grün,grün,2
Quarter,Das Viertel,Die Viertel,Das,Viertel,viertel,2
Enemy,Der Feind,Die Feinde,Der,Feind,feind,0
Entrance,Der Eingang,Die Eingänge,Der,Eingang,eingang,0
Library,Die Bibliothek,Die Bibliotheken,Die,Bibliothek,bibliothek,1
Writer,Der Schriftsteller,Die Schriftsteller,Der,Schriftsteller,schriftsteller,0
Peace,Der Frieden,-,Der,Frieden,frieden,0
Touch,Die Berührung,Die Berührungen,Die,Berührung,berührung,1
Pot,Der Topf,Die Töpfe,Der,Topf,topf,0
Cause,Die Ursache,Die Ursachen,Die,Ursache,ursache,1
Rope,Das Seil,Die Seile,Das,Seil,seil,2
Muscle,Der Muskel,Die Muskeln,Der,Muskel,muskel,0
Painting,Das Gemälde,Die Gemälde,Das,Gemälde,gemälde,2
Curtain,Der Vorhang,Die Vorhänge,Der,Vorhang,vorhang,0
Meal,Die Mahlzeit,Die Mahlzeiten,Die,Mahlzeit,mahlzeit,1
Act,Der Akt,Die Akte,Der,Akt,akt,0
Wolf,Der Wolf,Die Wölfe,Der,Wolf,wolf,0
Cabin,Die Kabine,Die Kabinen,Die,Kabine,kabine,1
Charge,Die Gebühr,Die Gebühren,Die,Gebühr,gebühr,1
Passenger,Der Passagier,Die Passagiere,Der,Passagier,passagier,0
Buddy,Der Kumpel,Die Kumpel,Der,Kumpel,kumpel,0
Drug,Das Medikament,Die Medikamente,Das,Medikament,medikament,2
Use,Die Verwendung,Die Verwendungen,Die,Verwendung,verwendung,1
Traffic,Der Verkehr,-,Der,Verkehr,verkehr,0
Relief,Die Erleichterung,-,Die,Erleichterung,erleichterung,1
Cap,Die Mütze,Die Mützen,Die,Mütze,mütze,1
Pack,Das Pack,Die Packs,Das,Pack,pack,2
Weekend,Das Wochenende,Die Wochenenden,Das,Wochenende,wochenende,2
Stand,Der Stand,Die Stände,Der,Stand,stand,0
Elevator,Der Aufzug,Die Aufzüge,Der,Aufzug,aufzug,0
Birthday,Der Geburtstag,Die Geburtstage,Der,Geburtstag,geburtstag,0
Lily,Die Lilie,Die Lilien,Die,Lilie,lilie,1
Iron,Das Eisen,Die Eisen,Das,Eisen,eisen,2
Eyebrow,Die Augenbraue,Die Augenbrauen,Die,Augenbraue,augenbraue,1
Speed,Die Geschwindigkeit,Die Geschwindigkeiten,Die,Geschwindigkeit,geschwindigkeit,1
Purpose,Der Zweck,Die Zwecke,Der,Zweck,zweck,0
Skirt,Der Rock,Die Röcke,Der,Rock,rock,0
Square,Das Quadrat,Die Quadrate,Das,Quadrat,quadrat,2
Drive,Die Fahrt,Die Fahrten,Die,Fahrt,fahrt,1
Article,Der Artikel,Die Artikel,Der,Artikel,artikel,0
English,Das Englisch,-,Das,Englisch,englisch,2
Tower,Der Turm,Die Türme,Der,Turm,turm,0
Battle,Die Schlacht,Die Schlachten,Die,Schlacht,schlacht,1
Race,Das Rennen,Die Rennen,Das,Rennen,rennen,2
Shock,Der Schock,Die Schocks,Der,Schock,schock,0
Section,Die Sektion,Die Sektionen,Die,Sektion,sektion,1
Sword,Das Schwert,Die Schwerter,Das,Schwert,schwert,2
Stick,Der Stock,Die Stöcke,Der,Stock,stock,0
File,Die Datei,Die Dateien,Die,Datei,datei,1
Bread,Das Brot,-,Das,Brot,brot,2
Oil,Das Öl,-,Das,Öl,öl,2
Chain,Die Kette,Die Ketten,Die,Kette,kette,1
Department,Die Abteilung,Die Abteilungen,Die,Abteilung,abteilung,1
Project,Das Projekt,Die Projekte,Das,Projekt,projekt,2
Murder,Der Mord,Die Morde,Der,Mord,mord,0
Bear,Der Bär,Die Bären,Der,Bär,bär,0
Test,Der Test,Die Tests,Der,Test,test,0
Visit,Der Besuch,Die Besuche,Der,Besuch,besuch,0
Milk,Die Milch,-,Die,Milch,milch,1
Boss,Der Chef,Die Chefs,Der,Chef,chef,0
Elbow,Der Ellenbogen,Die Ellenbogen,Der,Ellenbogen,ellenbogen,0
Desire,Das Verlangen,-,Das,Verlangen,verlangen,2
Patient,Der Patient,Die Patienten,Der,Patient,patient,0
Grin,Das Grinsen,-,Das,Grinsen,grinsen,2
Lover,Der Liebhaber,Die Liebhaber,Der,Liebhaber,liebhaber,0
Price,Der Preis,Die Preise,Der,Preis,preis,0
Knowledge,Das Wissen,-,Das,Wissen,wissen,2
Beginning,Der Anfang,Die Anfänge,Der,Anfang,anfang,0
Cold,Die Kälte,-,Die,Kälte,kälte,1
Closet,Der Schrank,Die Schränke,Der,Schrank,schrank,0
Dawn,Die Morgendämmerung,Die Morgendämmerungen,Die,Morgendämmerung,morgendämmerung,1
Temple,Der Tempel,Die Tempel,Der,Tempel,tempel,0
Joy,Die Freude,-,Die,Freude,freude,1
Duty,Die Pflicht,Die Pflichten,Die,Pflicht,pflicht,1
Practice,Die Übung,Die Übungen,Die,Übung,übung,1
Heel,Der Absatz,Die Absätze,Der,Absatz,absatz,0
Valley,Das Tal,Die Täler,Das,Tal,tal,2
Fight,Der Kampf,Die Kämpfe,Der,Kampf,kampf,0
Wire,Das Kabel,Die Kabel,Das,Kabel,kabel,2
Jeans,Die Jeans,-,Die,Jeans,jeans,1
Kiss,Der Kuss,Die Küsse,Der,Kuss,kuss,0
Jaw,Der Kiefer,Die Kiefer,Der,Kiefer,kiefer,0
Run,Der Lauf,Die Läufe,Der,Lauf,lauf,0
Hold,Das Halten,Die Halten,Das,Halten,halten,2
Relationship,Die Beziehung,Die Beziehungen,Die,Beziehung,beziehung,1
Object,Das Objekt,Die Objekte,Das,Objekt,objekt,2
Attack,Der Angriff,Die Angriffe,Der,Angriff,angriff,0
Highway,Die Autobahn,Die Autobahnen,Die,Autobahn,autobahn,1
Crime,Das Verbrechen,Die Verbrechen,Das,Verbrechen,verbrechen,2
White,Das Weiß,-,Das,Weiß,weiß,2
Partner,Der Partner,Die Partner,Der,Partner,partner,0
Priest,Der Priester,Die Priester,Der,Priester,priester,0
Lawn,Der Rasen,Die Rasen,Der,Rasen,rasen,0
Trunk,Der Stamm,Die Stämme,Der,Stamm,stamm,0
Cry,Das Weinen,Die Weinen,Das,Weinen,weinen,2
Program,Das Programm,Die Programme,Das,Programm,programm,2
Shelf,Das Regal,Die Regale,Das,Regal,regal,2
Being,Das Wesen,Die Wesen,Das,Wesen,wesen,2
Steel,Der Stahl,-,Der,Stahl,stahl,0
Sidewalk,Der Bürgersteig,Die Bürgersteige,Der,Bürgersteig,bürgersteig,0
Uniform,Die Uniform,Die Uniformen,Die,Uniform,uniform,1
Pattern,Das Muster,Die Muster,Das,Muster,muster,2
Evidence,Der Beweis,Die Beweise,Der,Beweis,beweis,0
Player,Der Spieler,Die Spieler,Der,Spieler,spieler,0
Novel,Der Roman,Die Romane,Der,Roman,roman,0
Pillow,Das Kissen,Die Kissen,Das,Kissen,kissen,2
Lamp,Die Lampe,Die Lampen,Die,Lampe,lampe,1
Drawer,Die Schublade,Die Schubladen,Die,Schublade,schublade,1
Danger,Die Gefahr,Die Gefahren,Die,Gefahr,gefahr,1
Detective,Der Detektiv,Die Detektive,Der,Detektiv,detektiv,0
Instant,Der Augenblick,Die Augenblicke,Der,Augenblick,augenblick,0
Thinking,Das Denken,-,Das,Denken,denken,2
Crack,Der Riss,Die Risse,Der,Riss,riss,0
Prayer,Das Gebet,Die Gebete,Das,Gebet,gebet,2
Towel,Das Handtuch,Die Handtücher,Das,Handtuch,handtuch,2
Glove,Der Handschuh,Die Handschuhe,Der,Handschuh,handschuh,0
Bay,Die Bucht,Die Buchten,Die,Bucht,bucht,1
Audience,Das Publikum,-,Das,Publikum,publikum,2
Can,Die Dose,Die Dosen,Die,Dose,dose,1
Trail,Der Pfad,Die Pfade,Der,Pfad,pfad,0
Waist,Die Taille,Die Taillen,Die,Taille,taille,1
Pressure,Der Druck,Die Drücke,Der,Druck,druck,0
Sink,Das Waschbecken,Die Waschbecken,Das,Waschbecken,waschbecken,2
Return,Die Rückkehr,Die Rückkehr,Die,Rückkehr,rückkehr,1
Breeze,Die Brise,Die Brisen,Die,Brise,brise,1
Taste,Der Geschmack,Die Geschmäcker,Der,Geschmack,geschmack,0
Stream,Der Strom,Die Ströme,Der,Strom,strom,0
Result,Das Ergebnis,Die Ergebnisse,Das,Ergebnis,ergebnis,2
Author,Der Autor,Die Autoren,Der,Autor,autor,0
Tip,Der Tipp,Die Tipps,Der,Tipp,tipp,0
Shower,Die Dusche,Die Duschen,Die,Dusche,dusche,1
Toe,Die Zehe,Die Zehen,Die,Zehe,zehe,1
Season,Die Jahreszeit,Die Jahreszeiten,Die,Jahreszeit,jahreszeit,1
Half,Die Hälfte,Die Hälften,Die,Hälfte,hälfte,1
Fool,Der Narr,Die Narren,Der,Narr,narr,0
Tunnel,Der Tunnel,Die Tunnel,Der,Tunnel,tunnel,0
Client,Der Kunde,Die Kunden,Der,Kunde,kunde,0
Garage,Die Garage,Die Garagen,Die,Garage,garage,1
Mission,Die Mission,Die Missionen,Die,Mission,mission,1
Bullet,Die Kugel,Die Kugeln,Die,Kugel,kugel,1
Market,Der Markt,Die Märkte,Der,Markt,markt,0
Loss,Der Verlust,Die Verluste,Der,Verlust,verlust,0
Series,Die Serie,Die Serien,Die,Serie,serie,1
Pen,Der Stift,Die Stifte,Der,Stift,stift,0
Term,Der Begriff,Die Begriffe,Der,Begriff,begriff,0
Poem,Das Gedicht,Die Gedichte,Das,Gedicht,gedicht,2
Prince,Der Prinz,Die Prinzen,Der,Prinz,prinz,0
Lock,Das Schloss,Die Schlösser,Das,Schloss,schloss,2
Reality,Die Realität,Die Realitäten,Die,Realität,realität,1
Snake,Die Schlange,Die Schlangen,Die,Schlange,schlange,1
Apple,Der Apfel,Die Äpfel,Der,Apfel,apfel,0
Mask,Die Maske,Die Masken,Die,Maske,maske,1
Birth,Die Geburt,Die Geburten,Die,Geburt,geburt,1
Wonder,Das Wunder,Die Wunder,Das,Wunder,wunder,2
Sunlight,Das Sonnenlicht,-,Das,Sonnenlicht,sonnenlicht,2
Tank,Der Panzer,Die Panzer,Der,Panzer,panzer,0
Staff,Das Personal,-,Das,Personal,personal,2
Lie,Die Lüge,Die Lügen,Die,Lüge,lüge,1
Faith,Der Glaube,-,Der,Glaube,glaube,0
Honor,Die Ehre,-,Die,Ehre,ehre,1
Cream,Die Sahne,-,Die,Sahne,sahne,1
Victim,Das Opfer,Die Opfer,Das,Opfer,opfer,2
Possibility,Die Möglichkeit,Die Möglichkeiten,Die,Möglichkeit,möglichkeit,1
Contact,Der Kontakt,Die Kontakte,Der,Kontakt,kontakt,0
Mood,Die Stimmung,Die Stimmungen,Die,Stimmung,stimmung,1
Thumb,Der Daumen,Die Daumen,Der,Daumen,daumen,0
Reading,Das Lesen,-,Das,Lesen,lesen,2
Fun,Der Spaß,-,Der,Spaß,spaß,0
Candle,Die Kerze,Die Kerzen,Die,Kerze,kerze,1
Cave,Die Höhle,Die Höhlen,Die,Höhle,höhle,1
Post,Die Post,-,Die,Post,post,1
Prison,Das Gefängnis,Die Gefängnisse,Das,Gefängnis,gefängnis,2
Emotion,Die Emotion,Die Emotionen,Die,Emotion,emotion,1
Leader,Der Führer,Die Führer,Der,Führer,führer,0
Degree,Der Abschluss,Die Abschlüsse,Der,Abschluss,abschluss,0
Feature,Das Merkmal,Die Merkmale,Das,Merkmal,merkmal,2
Ticket,Die Eintrittskarte,Die Eintrittskarten,Die,Eintrittskarte,eintrittskarte,1
Alien,Das Alien,Die Aliens,Das,Alien,alien,2
Lesson,Die Lektion,Die Lektionen,Die,Lektion,lektion,1
Desert,Die Wüste,Die Wüsten,Die,Wüste,wüste,1
Cut,Der Schnitt,Die Schnitte,Der,Schnitt,schnitt,0
Mess,Das Durcheinander,-,Das,Durcheinander,durcheinander,2
Warning,Die Warnung,Die Warnungen,Die,Warnung,warnung,1
Tale,Das Märchen,Die Märchen,Das,Märchen,märchen,2
Funeral,Die Beerdigung,Die Beerdigungen,Die,Beerdigung,beerdigung,1
Cab,Das Taxi,Die Taxis,Das,Taxi,taxi,2
Reporter,Der Reporter,Die Reporter,Der,Reporter,reporter,0
Theater,Das Theater,Die Theater,Das,Theater,theater,2
Length,Die Länge,-,Die,Länge,länge,1
Mud,Der Schlamm,-,Der,Schlamm,schlamm,0
Science,Die Wissenschaft,-,Die,Wissenschaft,wissenschaft,1
Drop,Der Tropfen,Die Tropfen,Der,Tropfen,tropfen,0
String,Die Schnur,Die Schnüre,Die,Schnur,schnur,1
Speech,Die Rede,Die Reden,Die,Rede,rede,1
Copy,Das Exemplar,Die Exemplare,Das,Exemplar,exemplar,2
Cow,Die Kuh,Die Kühe,Die,Kuh,kuh,1
Worker,Der Arbeiter,Die Arbeiter,Der,Arbeiter,arbeiter,0
Thigh,Der Oberschenkel,Die Oberschenkel,Der,Oberschenkel,oberschenkel,0
Lab,Das Labor,Die Labore,Das,Labor,labor,2
Roll,Die Rolle,Die Rollen,Die,Rolle,rolle,1
Fruit,Die Frucht,Die Früchte,Die,Frucht,frucht,1
Patch,Das Patch,Die Patches,Das,Patch,patch,2
Silk,Die Seide,-,Die,Seide,seide,1
Buck,Der Dollar,Die Dollars,Der,Dollar,dollar,0
Brick,Der Ziegel,Die Ziegel,Der,Ziegel,ziegel,0
Rifle,Das Gewehr,Die Gewehre,Das,Gewehr,gewehr,2
Career,Die Karriere,Die Karrieren,Die,Karriere,karriere,1
Issue,Die Ausgabe,Die Ausgaben,Die,Ausgabe,ausgabe,1
Opportunity,Die Gelegenheit,Die Gelegenheiten,Die,Gelegenheit,gelegenheit,1
Director,Der Regisseur,Die Regisseure,Der,Regisseur,regisseur,0
Monster,Das Monster,Die Monster,Das,Monster,monster,2
Vehicle,Das Fahrzeug,Die Fahrzeuge,Das,Fahrzeug,fahrzeug,2
Alley,Die Gasse,Die Gassen,Die,Gasse,gasse,1
Sleeve,Der Ärmel,Die Ärmel,Der,Ärmel,ärmel,0
Grave,Das Grab,Die Gräber,Das,Grab,grab,2
Bush,Der Busch,Die Büsche,Der,Busch,busch,0
Dining,Das Esszimmer,-,Das,Esszimmer,esszimmer,2
Opening,Die Öffnung,Die Öffnungen,Die,Öffnung,öffnung,1
Twin,Das Zwilling,Die Zwillinge,Das,Zwilling,zwilling,2
Barn,Die Scheune,Die Scheunen,Die,Scheune,scheune,1
Pound,Das Pfund,Die Pfunde,Das,Pfund,pfund,2
Flash,Der Blitz,Die Blitze,Der,Blitz,blitz,0
Judge,Der Richter,Die Richter,Der,Richter,richter,0
Mass,Die Masse,Die Massen,Die,Masse,masse,1
Process,Der Prozess,Die Prozesse,Der,Prozess,prozess,0
Tie,Die Krawatte,Die Krawatten,Die,Krawatte,krawatte,1
Purse,Die Geldbörse,Die Geldbörsen,Die,Geldbörse,geldbörse,1
Pipe,Die Pfeife,Die Pfeifen,Die,Pfeife,pfeife,1
Dragon,Der Drache,Die Drachen,Der,Drache,drache,0
Horizon,Der Horizont,Die Horizonte,Der,Horizont,horizont,0
Tray,Das Tablett,Die Tabletts,Das,Tablett,tablett,2
Envelope,Der Umschlag,Die Umschläge,Der,Umschlag,umschlag,0
Check,Der Scheck,Die Schecks,Der,Scheck,scheck,0
Adult,Der Erwachsene,Die Erwachsenen,Der,Erwachsene,erwachsene,0
Emergency,Der Notfall,Die Notfälle,Der,Notfall,notfall,0
Material,Das Material,Die Materialien,Das,Material,material,2
Childhood,Die Kindheit,-,Die,Kindheit,kindheit,1
Habit,Die Gewohnheit,Die Gewohnheiten,Die,Gewohnheit,gewohnheit,1
Artist,Der Künstler,Die Künstler,Der,Künstler,künstler,0
Address,Die Adresse,Die Adressen,Die,Adresse,adresse,1
Scent,Der Duft,Die Düfte,Der,Duft,duft,0
Universe,Das Universum,Die Universen,Das,Universum,universum,2
Nod,Das Nicken,-,Das,Nicken,nicken,2
Shell,Die Muschel,Die Muscheln,Die,Muschel,muschel,1
Community,Die Gemeinschaft,Die Gemeinschaften,Die,Gemeinschaft,gemeinschaft,1
Start,Der Start,Die Starts,Der,Start,start,0
Wound,Die Wunde,Die Wunden,Die,Wunde,wunde,1
Mouse,Die Maus,Die Mäuse,Die,Maus,maus,1
Pilot,Der Pilot,Die Piloten,Der,Pilot,pilot,0
Grade,Die Note,Die Noten,Die,Note,note,1
Video,Das Video,Die Videos,Das,Video,video,2
Basket,Der Korb,Die Körbe,Der,Korb,korb,0
Wagon,Der Waggon,Die Waggons,Der,Waggon,waggon,0
Attempt,Der Versuch,Die Versuche,Der,Versuch,versuch,0
Sofa,Das Sofa,Die Sofas,Das,Sofa,sofa,2
Cake,Der Kuchen,Die Kuchen,Der,Kuchen,kuchen,0
Shore,Die Küste,Die Küsten,Die,Küste,küste,1
General,Der General,Die Generäle,Der,General,general,0
Root,Die Wurzel,Die Wurzeln,Die,Wurzel,wurzel,1
Robe,Der Umhang,Die Umhänge,Der,Umhang,umhang,0
Press,Die Presse,-,Die,Presse,presse,1
Rat,Die Ratte,Die Ratten,Die,Ratte,ratte,1
Society,Die Gesellschaft,Die Gesellschaften,Die,Gesellschaft,gesellschaft,1
Style,Der Stil,Die Stile,Der,Stil,stil,0
County,Der Bezirk,Die Bezirke,Der,Bezirk,bezirk,0
Command,Der Befehl,Die Befehle,Der,Befehl,befehl,0
Visitor,Der Besucher,Die Besucher,Der,Besucher,besucher,0
Model,Das Modell,Die Modelle,Das,Modell,modell,2
Chamber,Die Kammer,Die Kammern,Die,Kammer,kammer,1
Bunch,Der Strauß,Die Sträuße,Der,Strauß,strauß,0
Background,Der Hintergrund,Die Hintergründe,Der,Hintergrund,hintergrund,0
Unit,Die Einheit,Die Einheiten,Die,Einheit,einheit,1
Furniture,Das Möbel,Die Möbel,Das,Möbel,möbel,2
Nail,Der Nagel,Die Nägel,Der,Nagel,nagel,0
Scream,Der Schrei,Die Schreie,Der,Schrei,schrei,0
Property,Das Eigentum,-,Das,Eigentum,eigentum,2
Equipment,Die Ausrüstung,-,Die,Ausrüstung,ausrüstung,1
Driveway,Die Auffahrt,Die Auffahrten,Die,Auffahrt,auffahrt,1
Grip,Der Griff,Die Griffe,Der,Griff,griff,0
Tube,Die Röhre,Die Röhren,Die,Röhre,röhre,1
Ash,Die Asche,Die Aschen,Die,Asche,asche,1
Fan,Der Ventilator,Die Ventilatoren,Der,Ventilator,ventilator,0
Opinion,Die Meinung,Die Meinungen,Die,Meinung,meinung,1
Data,Die Daten,-,Die,Daten,daten,1
Connection,Die Verbindung,Die Verbindungen,Die,Verbindung,verbindung,1
Trick,Der Trick,Die Tricks,Der,Trick,trick,0
Period,Die Periode,Die Perioden,Die,Periode,periode,1
Writing,Die Schrift,Die Schriften,Die,Schrift,schrift,1
Horror,Der Horror,-,Der,Horror,horror,0
Candy,Die Süßigkeiten,-,Die,Süßigkeiten,süßigkeiten,1
Bitch,Die Hündin,Die Hündinnen,Die,Hündin,hündin,1
Health,Die Gesundheit,-,Die,Gesundheit,gesundheit,1
Manager,Der Manager,Die Manager,Der,Manager,manager,0
Height,Die Höhe,Die Höhen,Die,Höhe,höhe,1
Appearance,Das Aussehen,-,Das,Aussehen,aussehen,2
Sigh,Der Seufzer,Die Seufzer,Der,Seufzer,seufzer,0
Mine,Die Mine,Die Minen,Die,Mine,mine,1
Cloth,Der Stoff,Die Stoffe,Der,Stoff,stoff,0
Reaction,Die Reaktion,Die Reaktionen,Die,Reaktion,reaktion,1
Source,Die Quelle,Die Quellen,Die,Quelle,quelle,1
Self,Das Selbst,-,Das,Selbst,selbst,2
Pistol,Die Pistole,Die Pistolen,Die,Pistole,pistole,1
Airport,Der Flughafen,Die Flughäfen,Der,Flughafen,flughafen,0
Hero,Der Held,Die Helden,Der,Held,held,0
Promise,Das Versprechen,Die Versprechen,Das,Versprechen,versprechen,2
Bow,Der Bogen,Die Bögen,Der,Bogen,bogen,0
Tent,Das Zelt,Die Zelte,Das,Zelt,zelt,2
Cash,Das Bargeld,-,Das,Bargeld,bargeld,2
Avenue,Die Allee,Die Alleen,Die,Allee,allee,1
TShirt,Das T-Shirt,Die T-Shirts,Das,T-Shirt,t-shirt,2
Carpet,Der Teppich,Die Teppiche,Der,Teppich,teppich,0
Basement,Der Keller,Die Keller,Der,Keller,keller,0
Girlfriend,Die Freundin,Die Freundinnen,Die,Freundin,freundin,1
Beard,Der Bart,Die Bärte,Der,Bart,bart,0
Signal,Das Signal,Die Signale,Das,Signal,signal,2
Servant,Der Diener,Die Diener,Der,Diener,diener,0
Whisper,Das Flüstern,Die Flüster,Das,Flüstern,flüstern,2
Doubt,Der Zweifel,Die Zweifel,Der,Zweifel,zweifel,0
Account,Das Konto,Die Konten,Das,Konto,konto,2
Magic,Die Magie,-,Die,Magie,magie,1
Hank,Der Klumpen,Die Klumpen,Der,Klumpen,klumpen,0
Limb,Das Glied,Die Glieder,Das,Glied,glied,2
Bastard,Der Bastard,Die Bastarde,Der,Bastard,bastard,0
Skull,Der Schädel,Die Schädel,Der,Schädel,schädel,0
Collar,Der Kragen,Die Kragen,Der,Kragen,kragen,0
Horn,Das Horn,Die Hörner,Das,Horn,horn,2
Oak,Die Eiche,Die Eichen,Die,Eiche,eiche,1
Ankle,Der Knöchel,Die Knöchel,Der,Knöchel,knöchel,0
Doll,Die Puppe,Die Puppen,Die,Puppe,puppe,1
Sandwich,Das Sandwich,Die Sandwiches,Das,Sandwich,sandwich,2
Robin,Der Rotkehlchen,Die Rotkehlchen,Der,Rotkehlchen,rotkehlchen,0
Justice,Die Gerechtigkeit,-,Die,Gerechtigkeit,gerechtigkeit,1
Pride,Der Stolz,-,Der,Stolz,stolz,0
Youth,Die Jugend,-,Die,Jugend,jugend,1
Secretary,Der Sekretär,Die Sekretäre,Der,Sekretär,sekretär,0
Research,Die Forschung,-,Die,Forschung,forschung,1
Sport,Der Sport,Die Sportarten,Der,Sport,sport,0
Task,Die Aufgabe,Die Aufgaben,Die,Aufgabe,aufgabe,1
Grant,Das Stipendium,Die Stipendien,Das,Stipendium,stipendium,2
Sheriff,Der Sheriff,Die Sheriffs,Der,Sheriff,sheriff,0
Midnight,Die Mitternacht,-,Die,Mitternacht,mitternacht,1
Chip,Der Chip,Die Chips,Der,Chip,chip,0
Theory,Die Theorie,Die Theorien,Die,Theorie,theorie,1
Alarm,Der Alarm,Die Alarme,Der,Alarm,alarm,0
Collection,Die Sammlung,Die Sammlungen,Die,Sammlung,sammlung,1
Cross,Das Kreuz,Die Kreuze,Das,Kreuz,kreuz,2
Generation,Die Generation,Die Generationen,Die,Generation,generation,1
Authority,Die Autorität,Die Autoritäten,Die,Autorität,autorität,1
Pearl,Die Perle,Die Perlen,Die,Perle,perle,1
Toilet,Die Toilette,Die Toiletten,Die,Toilette,toilette,1
Killer,Der Mörder,Die Mörder,Der,Mörder,mörder,0
Tool,Das Werkzeug,Die Werkzeuge,Das,Werkzeug,werkzeug,2
Medicine,Die Medizin,Die Medizinen,Die,Medizin,medizin,1
Sugar,Der Zucker,-,Der,Zucker,zucker,0
Princess,Die Prinzessin,Die Prinzessinnen,Die,Prinzessin,prinzessin,1
Argument,Das Argument,Die Argumente,Das,Argument,argument,2
Cliff,Die Klippe,Die Klippen,Die,Klippe,klippe,1
Cart,Der Wagen,Die Wagen,Der,Wagen,wagen,0
Crystal,Der Kristall,Die Kristalle,Der,Kristall,kristall,0
Bean,Die Bohne,Die Bohnen,Die,Bohne,bohne,1
Cage,Der Käfig,Die Käfige,Der,Käfig,käfig,0
Chocolate,Die Schokolade,-,Die,Schokolade,schokolade,1
Decade,Das Jahrzehnt,Die Jahrzehnte,Das,Jahrzehnt,jahrzehnt,2
Meaning,Die Bedeutung,Die Bedeutungen,Die,Bedeutung,bedeutung,1
Gear,Das Getriebe,Die Getriebe,Das,Getriebe,getriebe,2
Suitcase,Der Koffer,Die Koffer,Der,Koffer,koffer,0
Operation,Die Operation,Die Operationen,Die,Operation,operation,1
Breathing,Das Atmen,-,Das,Atmen,atmen,2
Version,Die Version,Die Versionen,Die,Version,version,1
Prisoner,Der Gefangene,Die Gefangenen,Der,Gefangene,gefangene,0
Rush,Der Rausch,Die Räusche,Der,Rausch,rausch,0
Lane,Die Fahrspur,Die Fahrspuren,Die,Fahrspur,fahrspur,1
Pole,Der Pfahl,Die Pfähle,Der,Pfahl,pfahl,0
