english,singular,plural,article,noun,x,y,possessive,croatian
Contact,Der Kontakt,Die Kontakte,Der,Kontakt,kontakt,0,Mein Kontakt,Moj kontakt
Mood,Die Stimmung,Die Stimmungen,Die,Stimmung,stimmung,1,Meine Stimmung,Moje raspoloženje
Thumb,Der Daumen,Die Daumen,Der,Daumen,daumen,0,Mein Daumen,Moj palac
Reading,Das Lesen,-,Das,Lesen,lesen,2,Mein Lesen,Moje čitanje
Fun,Der Spaß,-,Der,Spaß,spaß,0,Mein Spaß,Moja zabava
Candle,Die Kerze,Die Kerzen,Die,Kerze,kerze,1,Meine Kerze,Moja svijeća
Cave,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,Meine Höhle,Moja špilja
Post,Die Post,-,Die,Post,post,1,Meine Post,Moj post
Prison,Das Gefängnis,Die Gefängnisse,Das,Gefängnis,gefängnis,2,Mein Gefängnis,Moj zatvor
Emotion,Die Emotion,Die Emotionen,Die,Emotion,emotion,1,Meine Emotion,Moja emocija
Leader,Der Führer,Die Führer,Der,Führer,führer,0,Mein Führer,Moj vodič
Degree,Der Abschluss,Die Abschlüsse,Der,Abschluss,abschluss,0,Mein Abschluss,Moja diploma
Feature,Das Merkmal,Die Merkmale,Das,Merkmal,merkmal,2,Mein Merkmal,Moja značajka
Ticket,Die Eintrittskarte,Die Eintrittskarten,Die,Eintrittskarte,eintrittskarte,1,Meine Eintrittskarte,Moja karta
Alien,Das Alien,Die Aliens,Das,Alien,alien,2,Mein Alien,Moj vanzemaljac
Lesson,Die Lektion,Die Lektionen,Die,Lektion,lektion,1,Meine Lektion,Moja lekcija
Desert,Die Wüste,Die Wüsten,Die,Wüste,wüste,1,Meine Wüste,Moja pustinja
Cut,Der Schnitt,Die Schnitte,Der,Schnitt,schnitt,0,Mein Schnitt,Moj rez
Mess,Das Durcheinander,-,Das,Durcheinander,durcheinander,2,Mein Durcheinander,Moj nered
Warning,Die Warnung,Die Warnungen,Die,Warnung,warnung,1,Meine Warnung,Moje upozorenje
Tale,Das Märchen,Die Märchen,Das,Märchen,märchen,2,Mein Märchen,Moja bajka
Funeral,Die Beerdigung,Die Beerdigungen,Die,Beerdigung,beerdigung,1,Meine Beerdigung,Moj sprovod
Cab,Das Taxi,Die Taxis,Das,Taxi,taxi,2,Mein Taxi,Moj taksi
Reporter,Der Reporter,Die Reporter,Der,Reporter,reporter,0,Mein Reporter,Moj reporter
Present,Das Geschenk,Die Geschenke,Das,Geschenk,geschenk,2,Mein Geschenk,Moj dar
Theater,Das Theater,Die Theater,Das,Theater,theater,2,Mein Theater,Moje kazalište
Length,Die Länge,-,Die,Länge,länge,1,Meine Länge,Moja duljina
Mud,Der Schlamm,-,Der,Schlamm,schlamm,0,Mein Schlamm,Moje blato
Science,Die Wissenschaft,-,Die,Wissenschaft,wissenschaft,1,Meine Wissenschaft,Moja znanost
Drop,Der Tropfen,Die Tropfen,Der,Tropfen,tropfen,0,Mein Tropfen,Moja kap
String,Die Schnur,Die Schnüre,Die,Schnur,schnur,1,Meine Schnur,Moj kabel
Speech,Die Rede,Die Reden,Die,Rede,rede,1,Meine Rede,Moj govor
Copy,Das Exemplar,Die Exemplare,Das,Exemplar,exemplar,2,Mein Exemplar,Moj primjerak
Cow,Die Kuh,Die Kühe,Die,Kuh,kuh,1,Meine Kuh,Moja krava
Worker,Der Arbeiter,Die Arbeiter,Der,Arbeiter,arbeiter,0,Mein Arbeiter,Moj radnik
Thigh,Der Oberschenkel,Die Oberschenkel,Der,Oberschenkel,oberschenkel,0,Mein Oberschenkel,Moje bedro
Lab,Das Labor,Die Labore,Das,Labor,labor,2,Mein Labor,Moj laboratorij
Roll,Die Rolle,Die Rollen,Die,Rolle,rolle,1,Meine Rolle,Moja uloga
Fruit,Die Frucht,Die Früchte,Die,Frucht,frucht,1,Meine Frucht,Moje voće
Patch,Das Patch,Die Patches,Das,Patch,patch,2,Mein Patch,Moja zakrpa
Silk,Die Seide,-,Die,Seide,seide,1,Meine Seide,Moja svila
Buck,Der Dollar,Die Dollars,Der,Dollar,dollar,0,Mein Dollar,Moj dolar
Brick,Der Ziegel,Die Ziegel,Der,Ziegel,ziegel,0,Mein Ziegel,Moja cigla
Rifle,Das Gewehr,Die Gewehre,Das,Gewehr,gewehr,2,Mein Gewehr,Moja puška
Career,Die Karriere,Die Karrieren,Die,Karriere,karriere,1,Meine Karriere,Moja karijera
Issue,Die Ausgabe,Die Ausgaben,Die,Ausgabe,ausgabe,1,Meine Ausgabe,Moj problem
Opportunity,Die Gelegenheit,Die Gelegenheiten,Die,Gelegenheit,gelegenheit,1,Meine Gelegenheit,Moja prilika
Director,Der Regisseur,Die Regisseure,Der,Regisseur,regisseur,0,Mein Regisseur,Moj direktor
Monster,Das Monster,Die Monster,Das,Monster,monster,2,Mein Monster,Moje čudovište
Vehicle,Das Fahrzeug,Die Fahrzeuge,Das,Fahrzeug,fahrzeug,2,Mein Fahrzeug,Moje vozilo
Alley,Die Gasse,Die Gassen,Die,Gasse,gasse,1,Meine Gasse,Moja uličica
Sleeve,Der Ärmel,Die Ärmel,Der,Ärmel,ärmel,0,Mein Ärmel,Moj rukav
Grave,Das Grab,Die Gräber,Das,Grab,grab,2,Mein Grab,Moj grob
Bush,Der Busch,Die Büsche,Der,Busch,busch,0,Mein Busch,Moj grm
Dining,Das Esszimmer,-,Das,Esszimmer,esszimmer,2,Mein Esszimmer,Moja blagovaonica
Opening,Die Öffnung,Die Öffnungen,Die,Öffnung,öffnung,1,Meine Öffnung,Moje otvaranje
Twin,Das Zwilling,Die Zwillinge,Das,Zwilling,zwilling,2,Mein Zwilling,Moj blizanac
Barn,Die Scheune,Die Scheunen,Die,Scheune,scheune,1,Meine Scheune,Moja štala
Pound,Das Pfund,Die Pfunde,Das,Pfund,pfund,2,Mein Pfund,Moja funta
Site,Die Seite,Die Seiten,Die,Seite,seite,1,Meine Seite,Moja stranica
Flash,Der Blitz,Die Blitze,Der,Blitz,blitz,0,Mein Blitz,Moj bljesak
Judge,Der Richter,Die Richter,Der,Richter,richter,0,Mein Richter,Moj sudac
Mass,Die Masse,Die Massen,Die,Masse,masse,1,Meine Masse,Moja misa
Process,Der Prozess,Die Prozesse,Der,Prozess,prozess,0,Mein Prozess,Moj proces
Tie,Die Krawatte,Die Krawatten,Die,Krawatte,krawatte,1,Meine Krawatte,Moja kravata
Purse,Die Geldbörse,Die Geldbörsen,Die,Geldbörse,geldbörse,1,Meine Geldbörse,Moj novčanik
Pipe,Die Pfeife,Die Pfeifen,Die,Pfeife,pfeife,1,Meine Pfeife,Moja lula
Dragon,Der Drache,Die Drachen,Der,Drache,drache,0,Mein Drache,Moj zmaj
Horizon,Der Horizont,Die Horizonte,Der,Horizont,horizont,0,Mein Horizont,Moj horizont
Tray,Das Tablett,Die Tabletts,Das,Tablett,tablett,2,Mein Tablett,Moja ladica
Envelope,Der Umschlag,Die Umschläge,Der,Umschlag,umschlag,0,Mein Umschlag,Moja omotnica
Check,Der Scheck,Die Schecks,Der,Scheck,scheck,0,Mein Scheck,Moj ček
Adult,Der Erwachsene,Die Erwachsenen,Der,Erwachsene,erwachsene,0,Mein Erwachsene,Moja odrasla osoba
Emergency,Der Notfall,Die Notfälle,Der,Notfall,notfall,0,Mein Notfall,Moj hitan slučaj
Material,Das Material,Die Materialien,Das,Material,material,2,Mein Material,Moj materijal
Childhood,Die Kindheit,-,Die,Kindheit,kindheit,1,Meine Kindheit,Moje djetinjstvo
Habit,Die Gewohnheit,Die Gewohnheiten,Die,Gewohnheit,gewohnheit,1,Meine Gewohnheit,Moja navika
Artist,Der Künstler,Die Künstler,Der,Künstler,künstler,0,Mein Künstler,Moj umjetnik
Address,Die Adresse,Die Adressen,Die,Adresse,adresse,1,Meine Adresse,Moja adresa
Scent,Der Duft,Die Düfte,Der,Duft,duft,0,Mein Duft,Moj miris
Universe,Das Universum,Die Universen,Das,Universum,universum,2,Mein Universum,Moj svemir
Nod,Das Nicken,-,Das,Nicken,nicken,2,Mein Nicken,Moje klimanje glavom
Shell,Die Muschel,Die Muscheln,Die,Muschel,muschel,1,Meine Muschel,Moja ljuska
Community,Die Gemeinschaft,Die Gemeinschaften,Die,Gemeinschaft,gemeinschaft,1,Meine Gemeinschaft,Moja zajednica
Start,Der Start,Die Starts,Der,Start,start,0,Mein Start,Moj početak
Wound,Die Wunde,Die Wunden,Die,Wunde,wunde,1,Meine Wunde,Moja rana
Mouse,Die Maus,Die Mäuse,Die,Maus,maus,1,Meine Maus,Moj miš
Pilot,Der Pilot,Die Piloten,Der,Pilot,pilot,0,Mein Pilot,Moj pilot
Grade,Die Note,Die Noten,Die,Note,note,1,Meine Note,Moja ocjena
Video,Das Video,Die Videos,Das,Video,video,2,Mein Video,Moj videozapis
Basket,Der Korb,Die Körbe,Der,Korb,korb,0,Mein Korb,Moja košarica
Wagon,Der Waggon,Die Waggons,Der,Waggon,waggon,0,Mein Waggon,Moj vagon
Attempt,Der Versuch,Die Versuche,Der,Versuch,versuch,0,Mein Versuch,Moj pokušaj
Sofa,Das Sofa,Die Sofas,Das,Sofa,sofa,2,Mein Sofa,Moj kauč
Cake,Der Kuchen,Die Kuchen,Der,Kuchen,kuchen,0,Mein Kuchen,Moja torta
Fellow,Der Kerl,Die Kerle,Der,Kerl,kerl,0,Mein Kerl,Moj momak
Affair,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,angelegenheit,1,Meine Angelegenheit,Moja afera
Shore,Die Küste,Die Küsten,Die,Küste,küste,1,Meine Küste,Moja obala
General,Der General,Die Generäle,Der,General,general,0,Mein General,Moj opći
Root,Die Wurzel,Die Wurzeln,Die,Wurzel,wurzel,1,Meine Wurzel,Moj korijen
Robe,Der Umhang,Die Umhänge,Der,Umhang,umhang,0,Mein Umhang,Moj ogrtač
Concern,Die Sorge,Die Sorgen,Die,Sorge,sorge,1,Meine Sorge,Moja briga
Press,Die Presse,-,Die,Presse,presse,1,Meine Presse,Moj tisak
Rat,Die Ratte,Die Ratten,Die,Ratte,ratte,1,Meine Ratte,Moj štakor
Society,Die Gesellschaft,Die Gesellschaften,Die,Gesellschaft,gesellschaft,1,Meine Gesellschaft,Moja tvrtka
Style,Der Stil,Die Stile,Der,Stil,stil,0,Mein Stil,Moj stil
County,Der Bezirk,Die Bezirke,Der,Bezirk,bezirk,0,Mein Bezirk,Moj okrug
Command,Der Befehl,Die Befehle,Der,Befehl,befehl,0,Mein Befehl,Moja zapovijed
Visitor,Der Besucher,Die Besucher,Der,Besucher,besucher,0,Mein Besucher,Moj posjetitelj
Model,Das Modell,Die Modelle,Das,Modell,modell,2,Mein Modell,Moj model
Chamber,Die Kammer,Die Kammern,Die,Kammer,kammer,1,Meine Kammer,Moja odaja
Beast,Das Tier,Die Tiere,Das,Tier,tier,2,Mein Tier,Moja životinja
Bunch,Der Strauß,Die Sträuße,Der,Strauß,strauß,0,Mein Strauß,Moj buket
Background,Der Hintergrund,Die Hintergründe,Der,Hintergrund,hintergrund,0,Mein Hintergrund,Moja pozadina
Unit,Die Einheit,Die Einheiten,Die,Einheit,einheit,1,Meine Einheit,Moja jedinica
Furniture,Das Möbel,Die Möbel,Das,Möbel,möbel,2,Mein Möbel,Moj namještaj
Nail,Der Nagel,Die Nägel,Der,Nagel,nagel,0,Mein Nagel,Moj nokat
Scream,Der Schrei,Die Schreie,Der,Schrei,schrei,0,Mein Schrei,Moj vrisak
Property,Das Eigentum,-,Das,Eigentum,eigentum,2,Mein Eigentum,Moje vlasništvo
Equipment,Die Ausrüstung,-,Die,Ausrüstung,ausrüstung,1,Meine Ausrüstung,Moja oprema
Driveway,Die Auffahrt,Die Auffahrten,Die,Auffahrt,auffahrt,1,Meine Auffahrt,Moje Uzašašće
Grip,Der Griff,Die Griffe,Der,Griff,griff,0,Mein Griff,Moj stisak
Tube,Die Röhre,Die Röhren,Die,Röhre,röhre,1,Meine Röhre,Moja cijev
Ash,Die Asche,Die Aschen,Die,Asche,asche,1,Meine Asche,Moj pepeo
Fan,Der Ventilator,Die Ventilatoren,Der,Ventilator,ventilator,0,Mein Ventilator,Moj obožavatelj
Opinion,Die Meinung,Die Meinungen,Die,Meinung,meinung,1,Meine Meinung,Moje mišljenje
Data,Die Daten,-,Die,Daten,daten,1,Meine Daten,Moji podaci
Connection,Die Verbindung,Die Verbindungen,Die,Verbindung,verbindung,1,Meine Verbindung,Moja veza
Trick,Der Trick,Die Tricks,Der,Trick,trick,0,Mein Trick,Moj trik
Mystery,Das Geheimnis,Die Geheimnisse,Das,Geheimnis,geheimnis,2,Mein Geheimnis,Moja tajna
Period,Die Periode,Die Perioden,Die,Periode,periode,1,Meine Periode,Moja menstruacija
Writing,Die Schrift,Die Schriften,Die,Schrift,schrift,1,Meine Schrift,Moje Sveto pismo
Horror,Der Horror,-,Der,Horror,horror,0,Mein Horror,Moj užas
Candy,Die Süßigkeiten,-,Die,Süßigkeiten,süßigkeiten,1,Meine Süßigkeiten,Moji slatkiši
Bitch,Die Hündin,Die Hündinnen,Die,Hündin,hündin,1,Meine Hündin,Moj
Health,Die Gesundheit,-,Die,Gesundheit,gesundheit,1,Meine Gesundheit,Moje zdravlje
Manager,Der Manager,Die Manager,Der,Manager,manager,0,Mein Manager,Moj menadžer
Safety,Die Sicherheit,-,Die,Sicherheit,sicherheit,1,Meine Sicherheit,Moja sigurnost
Height,Die Höhe,Die Höhen,Die,Höhe,höhe,1,Meine Höhe,Moja visina
Appearance,Das Aussehen,-,Das,Aussehen,aussehen,2,Mein Aussehen,Moj izgled
Sigh,Der Seufzer,Die Seufzer,Der,Seufzer,seufzer,0,Mein Seufzer,Moj uzdah
Mine,Die Mine,Die Minen,Die,Mine,mine,1,Meine Mine,Moj rudnik
Cloth,Der Stoff,Die Stoffe,Der,Stoff,stoff,0,Mein Stoff,Moja tkanina
Reaction,Die Reaktion,Die Reaktionen,Die,Reaktion,reaktion,1,Meine Reaktion,Moja reakcija
Source,Die Quelle,Die Quellen,Die,Quelle,quelle,1,Meine Quelle,Moj izvor
Self,Das Selbst,-,Das,Selbst,selbst,2,Mein Selbst,Moje ja
Pistol,Die Pistole,Die Pistolen,Die,Pistole,pistole,1,Meine Pistole,Moj pištolj
Airport,Der Flughafen,Die Flughäfen,Der,Flughafen,flughafen,0,Mein Flughafen,Moja zračna luka
Hero,Der Held,Die Helden,Der,Held,held,0,Mein Held,Moj heroj
Promise,Das Versprechen,Die Versprechen,Das,Versprechen,versprechen,2,Mein Versprechen,Moje obećanje
Bow,Der Bogen,Die Bögen,Der,Bogen,bogen,0,Mein Bogen,Moj luk
Tent,Das Zelt,Die Zelte,Das,Zelt,zelt,2,Mein Zelt,Moj šator
Booth,Der Stand,Die Stände,Der,Stand,stand,0,Mein Stand,Moj štand
Cash,Das Bargeld,-,Das,Bargeld,bargeld,2,Mein Bargeld,Moj novac
Avenue,Die Allee,Die Alleen,Die,Allee,allee,1,Meine Allee,Moja avenija
TShirt,Das T-Shirt,Die T-Shirts,Das,T-Shirt,t-shirt,2,Mein T-Shirt,Moja majica
Carpet,Der Teppich,Die Teppiche,Der,Teppich,teppich,0,Mein Teppich,Moj tepih
Basement,Der Keller,Die Keller,Der,Keller,keller,0,Mein Keller,Moj podrum
Girlfriend,Die Freundin,Die Freundinnen,Die,Freundin,freundin,1,Meine Freundin,Moja djevojka
Beard,Der Bart,Die Bärte,Der,Bart,bart,0,Mein Bart,Moja brada
Brow,Die Augenbraue,Die Augenbrauen,Die,Augenbraue,augenbraue,1,Meine Augenbraue,Moja obrva
Display,Der Bildschirm,Die Bildschirme,Der,Bildschirm,bildschirm,0,Mein Bildschirm,Moj zaslon
Signal,Das Signal,Die Signale,Das,Signal,signal,2,Mein Signal,Moj signal
Servant,Der Diener,Die Diener,Der,Diener,diener,0,Mein Diener,Moj sluga
Whisper,Das Flüstern,Die Flüster,Das,Flüstern,flüstern,2,Mein Flüstern,Moj šapat
Doubt,Der Zweifel,Die Zweifel,Der,Zweifel,zweifel,0,Mein Zweifel,Moja sumnja
Account,Das Konto,Die Konten,Das,Konto,konto,2,Mein Konto,Moj račun
Magic,Die Magie,-,Die,Magie,magie,1,Meine Magie,Moja magija
Hank,Der Klumpen,Die Klumpen,Der,Klumpen,klumpen,0,Mein Klumpen,Moja kvržica
Limb,Das Glied,Die Glieder,Das,Glied,glied,2,Mein Glied,Moj ud
Bastard,Der Bastard,Die Bastarde,Der,Bastard,bastard,0,Mein Bastard,Moje
Skull,Der Schädel,Die Schädel,Der,Schädel,schädel,0,Mein Schädel,Moja lubanja
Sentence,Der Satz,Die Sätze,Der,Satz,satz,0,Mein Satz,Moja rečenica
Collar,Der Kragen,Die Kragen,Der,Kragen,kragen,0,Mein Kragen,Moj ovratnik
Horn,Das Horn,Die Hörner,Das,Horn,horn,2,Mein Horn,Moj rog
Oak,Die Eiche,Die Eichen,Die,Eiche,eiche,1,Meine Eiche,Moj hrast
Ankle,Der Knöchel,Die Knöchel,Der,Knöchel,knöchel,0,Mein Knöchel,Moj gležanj
Doll,Die Puppe,Die Puppen,Die,Puppe,puppe,1,Meine Puppe,Moja lutka
Sandwich,Das Sandwich,Die Sandwiches,Das,Sandwich,sandwich,2,Mein Sandwich,Moj sendvič
Robin,Der Rotkehlchen,Die Rotkehlchen,Der,Rotkehlchen,rotkehlchen,0,Mein Rotkehlchen,Moj crvendać
Justice,Die Gerechtigkeit,-,Die,Gerechtigkeit,gerechtigkeit,1,Meine Gerechtigkeit,Moja pravda
Pride,Der Stolz,-,Der,Stolz,stolz,0,Mein Stolz,Moj ponos
Youth,Die Jugend,-,Die,Jugend,jugend,1,Meine Jugend,Moja mladost
Secretary,Der Sekretär,Die Sekretäre,Der,Sekretär,sekretär,0,Mein Sekretär,Moja tajnica
Research,Die Forschung,-,Die,Forschung,forschung,1,Meine Forschung,Moje istraživanje
Sport,Der Sport,Die Sportarten,Der,Sport,sport,0,Mein Sport,Moj sport
Task,Die Aufgabe,Die Aufgaben,Die,Aufgabe,aufgabe,1,Meine Aufgabe,Moj zadatak
Grant,Das Stipendium,Die Stipendien,Das,Stipendium,stipendium,2,Mein Stipendium,Moja stipendija
Sheriff,Der Sheriff,Die Sheriffs,Der,Sheriff,sheriff,0,Mein Sheriff,Moj šerif
Midnight,Die Mitternacht,-,Die,Mitternacht,mitternacht,1,Meine Mitternacht,Moja ponoć
Chip,Der Chip,Die Chips,Der,Chip,chip,0,Mein Chip,Moj čip
Theory,Die Theorie,Die Theorien,Die,Theorie,theorie,1,Meine Theorie,Moja teorija
Alarm,Der Alarm,Die Alarme,Der,Alarm,alarm,0,Mein Alarm,Moj alarm
Collection,Die Sammlung,Die Sammlungen,Die,Sammlung,sammlung,1,Meine Sammlung,Moja kolekcija
Cross,Das Kreuz,Die Kreuze,Das,Kreuz,kreuz,2,Mein Kreuz,Moj križ
Pine,Die Kiefer,Die Kiefern,Die,Kiefer,kiefer,1,Meine Kiefer,Moje čeljusti
Generation,Die Generation,Die Generationen,Die,Generation,generation,1,Meine Generation,Moja generacija
Authority,Die Autorität,Die Autoritäten,Die,Autorität,autorität,1,Meine Autorität,Moj autoritet
Papa,Der Papa,Die Papas,Der,Papa,papa,0,Mein Papa,Moj tata
Journey,Die Reise,Die Reisen,Die,Reise,reise,1,Meine Reise,Moje putovanje
Pearl,Die Perle,Die Perlen,Die,Perle,perle,1,Meine Perle,Moj biser
Toilet,Die Toilette,Die Toiletten,Die,Toilette,toilette,1,Meine Toilette,Moj WC
Killer,Der Mörder,Die Mörder,Der,Mörder,mörder,0,Mein Mörder,Moj ubojica
Tool,Das Werkzeug,Die Werkzeuge,Das,Werkzeug,werkzeug,2,Mein Werkzeug,Moji alati
Medicine,Die Medizin,Die Medizinen,Die,Medizin,medizin,1,Meine Medizin,Moj lijek
Sugar,Der Zucker,-,Der,Zucker,zucker,0,Mein Zucker,Moj šećer
Princess,Die Prinzessin,Die Prinzessinnen,Die,Prinzessin,prinzessin,1,Meine Prinzessin,Moja princeza
Argument,Das Argument,Die Argumente,Das,Argument,argument,2,Mein Argument,Moj argument
Cliff,Die Klippe,Die Klippen,Die,Klippe,klippe,1,Meine Klippe,Moja litica
Cart,Der Wagen,Die Wagen,Der,Wagen,wagen,0,Mein Wagen,Moj auto
Crystal,Der Kristall,Die Kristalle,Der,Kristall,kristall,0,Mein Kristall,Moj kristal
Bean,Die Bohne,Die Bohnen,Die,Bohne,bohne,1,Meine Bohne,Moj grah
Cage,Der Käfig,Die Käfige,Der,Käfig,käfig,0,Mein Käfig,Moj kavez
Chocolate,Die Schokolade,-,Die,Schokolade,schokolade,1,Meine Schokolade,Moja čokolada
Coast,Die Küste,Die Küsten,Die,Küste,küste,1,Meine Küste,Moja obala
Decade,Das Jahrzehnt,Die Jahrzehnte,Das,Jahrzehnt,jahrzehnt,2,Mein Jahrzehnt,Moje desetljeće
Meaning,Die Bedeutung,Die Bedeutungen,Die,Bedeutung,bedeutung,1,Meine Bedeutung,Moje značenje
Gear,Das Getriebe,Die Getriebe,Das,Getriebe,getriebe,2,Mein Getriebe,Moji zupčanici
Suitcase,Der Koffer,Die Koffer,Der,Koffer,koffer,0,Mein Koffer,Moj kofer
Operation,Die Operation,Die Operationen,Die,Operation,operation,1,Meine Operation,Moja operacija
Breathing,Das Atmen,-,Das,Atmen,atmen,2,Mein Atmen,Moje disanje
Role,Die Rolle,Die Rollen,Die,Rolle,rolle,1,Meine Rolle,Moja uloga
Version,Die Version,Die Versionen,Die,Version,version,1,Meine Version,Moja verzija
Prisoner,Der Gefangene,Die Gefangenen,Der,Gefangene,gefangene,0,Mein Gefangene,Moj zatvorenik
Match,Das Spiel,Die Spiele,Das,Spiel,spiel,2,Mein Spiel,Moja igra
Beam,Der Strahl,Die Strahlen,Der,Strahl,strahl,0,Mein Strahl,Moja zraka
Castle,Das Schloss,Die Schlösser,Das,Schloss,schloss,2,Mein Schloss,Moj dvorac
Rush,Der Rausch,Die Räusche,Der,Rausch,rausch,0,Mein Rausch,Moja opijenost
Lane,Die Fahrspur,Die Fahrspuren,Die,Fahrspur,fahrspur,1,Meine Fahrspur,Moja traka
Clothing,Die Kleidung,-,Die,Kleidung,kleidung,1,Meine Kleidung,Moja odjeća
Pole,Der Pfahl,Die Pfähle,Der,Pfahl,pfahl,0,Mein Pfahl,Moj ulog
Freedom,Die Freiheit,-,Die,Freiheit,freiheit,1,Meine Freiheit,Moja sloboda
Skill,Die Fähigkeit,Die Fähigkeiten,Die,Fähigkeit,fähigkeit,1,Meine Fähigkeit,Moja vještina
Passion,Die Leidenschaft,Die Leidenschaften,Die,Leidenschaft,leidenschaft,1,Meine Leidenschaft,Moja strast
Activity,Die Aktivität,Die Aktivitäten,Die,Aktivität,aktivität,1,Meine Aktivität,Moja aktivnost
Fuck,Der Fick,Die Ficks,Der,Fick,fick,0,Mein Fick,Moj jebanje
Platform,Die Plattform,Die Plattformen,Die,Plattform,plattform,1,Meine Plattform,Moja platforma
Salt,Das Salz,-,Das,Salz,salz,2,Mein Salz,Moja sol
Bike,Das Fahrrad,Die Fahrräder,Das,Fahrrad,fahrrad,2,Mein Fahrrad,Moj bicikl
Stack,Der Stapel,Die Stapel,Der,Stapel,stapel,0,Mein Stapel,Moj Stack
Companion,Der Begleiter,Die Begleiter,Der,Begleiter,begleiter,0,Mein Begleiter,Moj suputnik
Fate,Das Schicksal,-,Das,Schicksal,schicksal,2,Mein Schicksal,Moja sudbina
Rage,Die Wut,Die Wut,Die,Wut,wut,1,Meine Wut,Moj bijes
Supply,Die Versorgung,Die Versorgungen,Die,Versorgung,versorgung,1,Meine Versorgung,Moja zaliha
Whale,Der Wal,Die Wale,Der,Wal,wal,0,Mein Wal,Moj kit
Pig,Das Schwein,Die Schweine,Das,Schwein,schwein,2,Mein Schwein,Moja svinja
Rabbit,Das Kaninchen,Die Kaninchen,Das,Kaninchen,kaninchen,2,Mein Kaninchen,Moj zec
Aisle,Der Gang,Die Gänge,Der,Gang,gang,0,Mein Gang,Moja šetnja
Monitor,Der Monitor,Die Monitore,Der,Monitor,monitor,0,Mein Monitor,Moj monitor
Helmet,Der Helm,Die Helme,Der,Helm,helm,0,Mein Helm,Moja kaciga
Respect,Der Respekt,-,Der,Respekt,respekt,0,Mein Respekt,Moje poštovanje
Excitement,Die Aufregung,-,Die,Aufregung,aufregung,1,Meine Aufregung,Moje uzbuđenje
Lobby,Die Lobby,Die Lobbys,Die,Lobby,lobby,1,Meine Lobby,Moje predvorje
Boyfriend,Der Freund,Die Freunde,Der,Freund,freund,0,Mein Freund,Moj prijatelj
Fur,Der Pelz,Die Felle,Der,Pelz,pelz,0,Mein Pelz,Moje krzno
Range,Die Bandbreite,Die Bandbreiten,Die,Bandbreite,bandbreite,1,Meine Bandbreite,Moja propusnost
Dick,Der Schwanz,Die Schwänze,Der,Schwanz,schwanz,0,Mein Schwanz,Moj kurac
Code,Der Code,Die Codes,Der,Code,code,0,Mein Code,Moj kod
Chapter,Das Kapitel,Die Kapitel,Das,Kapitel,kapitel,2,Mein Kapitel,Moje poglavlje
Reflection,Die Reflexion,Die Reflexionen,Die,Reflexion,reflexion,1,Meine Reflexion,Moj odraz
Mail,Die Post,Die Mails,Die,Post,post,1,Meine Post,Moj post
Fly,Die Fliege,Die Fliegen,Die,Fliege,fliege,1,Meine Fliege,Moja leptir mašna
Cabinet,Der Schrank,Die Schränke,Der,Schrank,schrank,0,Mein Schrank,Moj ormar
Toy,Das Spielzeug,Die Spielzeuge,Das,Spielzeug,spielzeug,2,Mein Spielzeug,Moje igračke
Baseball,Der Baseball,Die Baseballs,Der,Baseball,baseball,0,Mein Baseball,Moja bejzbolska lopta
Inside,Das Innere,-,Das,Innere,innere,2,Mein Innere,Moja nutrina
Pace,Das Tempo,-,Das,Tempo,tempo,2,Mein Tempo,Moj tempo
Handle,Der Griff,Die Griffe,Der,Griff,griff,0,Mein Griff,Moj stisak
Lead,Das Blei,-,Das,Blei,blei,2,Mein Blei,Moj trag
Amount,Die Menge,Die Mengen,Die,Menge,menge,1,Meine Menge,Moja količina
Nerve,Der Nerv,Die Nerven,Der,Nerv,nerv,0,Mein Nerv,Moj živac
Terror,Der Terror,-,Der,Terror,terror,0,Mein Terror,Moj užas
Sweater,Der Pullover,Die Pullover,Der,Pullover,pullover,0,Mein Pullover,Moj džemper
Quality,Die Qualität,Die Qualitäten,Die,Qualität,qualität,1,Meine Qualität,Moja kvaliteta
Hunter,Der Jäger,Die Jäger,Der,Jäger,jäger,0,Mein Jäger,Moj lovac
Paint,Die Farbe,Die Farben,Die,Farbe,farbe,1,Meine Farbe,Moja boja
Buster,Der Zerstörer,Die Zerstörer,Der,Zerstörer,zerstörer,0,Mein Zerstörer,Moj razarač
Cotton,Die Baumwolle,-,Die,Baumwolle,baumwolle,1,Meine Baumwolle,Moj pamuk
Sergeant,Der Feldwebel,Die Feldwebel,Der,Feldwebel,feldwebel,0,Mein Feldwebel,Moj narednik
Credit,Der Kredit,Die Kredite,Der,Kredit,kredit,0,Mein Kredit,Moj kredit
Blow,Der Schlag,Die Schläge,Der,Schlag,schlag,0,Mein Schlag,Moje potkrovlje
Devil,Der Teufel,Die Teufel,Der,Teufel,teufel,0,Mein Teufel,Moj vrag
Threat,Die Bedrohung,Die Bedrohungen,Die,Bedrohung,bedrohung,1,Meine Bedrohung,Moja prijetnja
Success,Der Erfolg,Die Erfolge,Der,Erfolg,erfolg,0,Mein Erfolg,Moj uspjeh
Eve,Der Abend,Die Abende,Der,Abend,abend,0,Mein Abend,Moja večer
Cable,Das Kabel,Die Kabel,Das,Kabel,kabel,2,Mein Kabel,Moj kabel
Pan,Die Pfanne,Die Pfannen,Die,Pfanne,pfanne,1,Meine Pfanne,Moja tava
