english,singular,plural,article,noun,x,y,sing+plural,catalan
Lamp,Die Lampe,Die Lampen,Die,Lampe,lampe,1,"Die Lampe, Die Lampen","La làmpada, les làmpades"
Drawer,Die Schublade,Die Schubladen,Die,Schublade,schublade,1,"Die Schublade, Die Schubladen","El calaix, els calaixos"
Danger,Die Gefahr,Die Gefahren,Die,Gefahr,gefahr,1,"Die Gefahr, Die Gefahren","El perill, els perills"
Detective,Der Detektiv,Die Detektive,Der,Detektiv,detektiv,0,"Der Detektiv, Die Detektive","El detectiu, els detectius"
Instant,Der Augenblick,Die Augenblicke,Der,Augenblick,augenblick,0,"Der Augenblick, Die Augenblicke","El moment, els moments"
Thinking,Das Denken,-,Das,Denken,denken,2,"Das Denken, -","el pensar, els pensars"
Crack,Der Riss,Die Risse,Der,Riss,riss,0,"Der Riss, Die Risse","L'esquerda, les esquerdes"
Prayer,Das Gebet,Die Gebete,Das,Gebet,gebet,2,"Das Gebet, Die Gebete","L'oració, les oracions"
Towel,Das Handtuch,Die Handtücher,Das,Handtuch,handtuch,2,"Das Handtuch, Die Handtücher","La tovallola, les tovalloles"
Glove,Der Handschuh,Die Handschuhe,Der,Handschuh,handschuh,0,"Der Handschuh, Die Handschuhe","El guant, els guants"
Bay,Die Bucht,Die Buchten,Die,Bucht,bucht,1,"Die Bucht, Die Buchten","La badia, les badies"
Audience,Das Publikum,-,Das,Publikum,publikum,2,"Das Publikum, -","El públic, -"
Can,Die Dose,Die Dosen,Die,Dose,dose,1,"Die Dose, Die Dosen","La llauna, les llaunes"
Condition,Der Zustand,Die Zustände,Der,Zustand,zustand,0,"Der Zustand, Die Zustände","L'estat, les condicions"
Trail,Der Pfad,Die Pfade,Der,Pfad,pfad,0,"Der Pfad, Die Pfade","El camí, els camins"
Waist,Die Taille,Die Taillen,Die,Taille,taille,1,"Die Taille, Die Taillen","La cintura, la cintura"
Pressure,Der Druck,Die Drücke,Der,Druck,druck,0,"Der Druck, Die Drücke","La pressió, les pressions"
Telephone,Das Telefon,Die Telefone,Das,Telefon,telefon,2,"Das Telefon, Die Telefone","El telèfon, els telèfons"
Sink,Das Waschbecken,Die Waschbecken,Das,Waschbecken,waschbecken,2,"Das Waschbecken, Die Waschbecken","L'aigüera, els lavabos"
Return,Die Rückkehr,Die Rückkehr,Die,Rückkehr,rückkehr,1,"Die Rückkehr, Die Rückkehr","El retorn, el retorn"
Breeze,Die Brise,Die Brisen,Die,Brise,brise,1,"Die Brise, Die Brisen","La brisa, la brisa"
Taste,Der Geschmack,Die Geschmäcker,Der,Geschmack,geschmack,0,"Der Geschmack, Die Geschmäcker","Els gustos, els gustos"
Fault,Der Fehler,Die Fehler,Der,Fehler,fehler,0,"Der Fehler, Die Fehler","L'error, els errors"
Stream,Der Strom,Die Ströme,Der,Strom,strom,0,"Der Strom, Die Ströme","El rierol, els corrents"
Result,Das Ergebnis,Die Ergebnisse,Das,Ergebnis,ergebnis,2,"Das Ergebnis, Die Ergebnisse","El resultat, els resultats"
Author,Der Autor,Die Autoren,Der,Autor,autor,0,"Der Autor, Die Autoren","L'autor, els autors"
Tip,Der Tipp,Die Tipps,Der,Tipp,tipp,0,"Der Tipp, Die Tipps","El consell, els consells"
Shower,Die Dusche,Die Duschen,Die,Dusche,dusche,1,"Die Dusche, Die Duschen","La dutxa, les dutxes"
Toe,Die Zehe,Die Zehen,Die,Zehe,zehe,1,"Die Zehe, Die Zehen","El dit del peu, els dits dels peus"
Season,Die Jahreszeit,Die Jahreszeiten,Die,Jahreszeit,jahreszeit,1,"Die Jahreszeit, Die Jahreszeiten","L'estació, les estacions"
Half,Die Hälfte,Die Hälften,Die,Hälfte,hälfte,1,"Die Hälfte, Die Hälften","La meitat, les meitats"
Fool,Der Narr,Die Narren,Der,Narr,narr,0,"Der Narr, Die Narren","El ximple, els ximples"
Tunnel,Der Tunnel,Die Tunnel,Der,Tunnel,tunnel,0,"Der Tunnel, Die Tunnel","El túnel, els túnels"
Client,Der Kunde,Die Kunden,Der,Kunde,kunde,0,"Der Kunde, Die Kunden","El client, els clients"
Garage,Die Garage,Die Garagen,Die,Garage,garage,1,"Die Garage, Die Garagen","El garatge, els garatges"
Mission,Die Mission,Die Missionen,Die,Mission,mission,1,"Die Mission, Die Missionen","La missió, les missions"
Chief,Der Chef,Die Chefs,Der,Chef,chef,0,"Der Chef, Die Chefs","El cap, els caps"
Bullet,Die Kugel,Die Kugeln,Die,Kugel,kugel,1,"Die Kugel, Die Kugeln","La pilota, les pilotes"
Market,Der Markt,Die Märkte,Der,Markt,markt,0,"Der Markt, Die Märkte","El mercat, els mercats"
Loss,Der Verlust,Die Verluste,Der,Verlust,verlust,0,"Der Verlust, Die Verluste","La pèrdua, les pèrdues"
Series,Die Serie,Die Serien,Die,Serie,serie,1,"Die Serie, Die Serien","La sèrie, la sèrie"
Pen,Der Stift,Die Stifte,Der,Stift,stift,0,"Der Stift, Die Stifte","La ploma, els bolígrafs"
Term,Der Begriff,Die Begriffe,Der,Begriff,begriff,0,"Der Begriff, Die Begriffe","El terme, els termes"
Poem,Das Gedicht,Die Gedichte,Das,Gedicht,gedicht,2,"Das Gedicht, Die Gedichte","El poema, els poemes"
Prince,Der Prinz,Die Prinzen,Der,Prinz,prinz,0,"Der Prinz, Die Prinzen","El príncep, els prínceps"
Clay,Der Ton,Die Tone,Der,Ton,ton,0,"Der Ton, Die Tone","El to, els tons"
Lock,Das Schloss,Die Schlösser,Das,Schloss,schloss,2,"Das Schloss, Die Schlösser","El Castell, Els Castells"
Reality,Die Realität,Die Realitäten,Die,Realität,realität,1,"Die Realität, Die Realitäten","La realitat, les realitats"
Snake,Die Schlange,Die Schlangen,Die,Schlange,schlange,1,"Die Schlange, Die Schlangen","La serp, les serps"
Apple,Der Apfel,Die Äpfel,Der,Apfel,apfel,0,"Der Apfel, Die Äpfel","La poma, les pomes"
Mask,Die Maske,Die Masken,Die,Maske,maske,1,"Die Maske, Die Masken","La màscara, les màscares"
Customer,Der Kunde,Die Kunden,Der,Kunde,kunde,0,"Der Kunde, Die Kunden","El client, els clients"
Birth,Die Geburt,Die Geburten,Die,Geburt,geburt,1,"Die Geburt, Die Geburten","El naixement, els naixements"
Break,Die Pause,Die Pausen,Die,Pause,pause,1,"Die Pause, Die Pausen","La ruptura, les ruptures"
Wonder,Das Wunder,Die Wunder,Das,Wunder,wunder,2,"Das Wunder, Die Wunder","El miracle, els miracles"
Sunlight,Das Sonnenlicht,-,Das,Sonnenlicht,sonnenlicht,2,"Das Sonnenlicht, -","La llum del sol, -"
Tank,Der Panzer,Die Panzer,Der,Panzer,panzer,0,"Der Panzer, Die Panzer","El tanc, els tancs"
Staff,Das Personal,-,Das,Personal,personal,2,"Das Personal, -","El personal, -"
Lie,Die Lüge,Die Lügen,Die,Lüge,lüge,1,"Die Lüge, Die Lügen","La mentida, les mentides"
Faith,Der Glaube,-,Der,Glaube,glaube,0,"Der Glaube, -","la fe, les fes"
Honor,Die Ehre,-,Die,Ehre,ehre,1,"Die Ehre, -","L'honor, els honors"
Cream,Die Sahne,-,Die,Sahne,sahne,1,"Die Sahne, -","La crema, -"
Sake,Der Grund,-,Der,Grund,grund,0,"Der Grund, -","La raó, -"
Victim,Das Opfer,Die Opfer,Das,Opfer,opfer,2,"Das Opfer, Die Opfer","La víctima, les víctimes"
Possibility,Die Möglichkeit,Die Möglichkeiten,Die,Möglichkeit,möglichkeit,1,"Die Möglichkeit, Die Möglichkeiten","L'oportunitat, les oportunitats"
Contact,Der Kontakt,Die Kontakte,Der,Kontakt,kontakt,0,"Der Kontakt, Die Kontakte","El contacte, els contactes"
Mood,Die Stimmung,Die Stimmungen,Die,Stimmung,stimmung,1,"Die Stimmung, Die Stimmungen","L'estat d'ànim, els estats d'ànim"
Thumb,Der Daumen,Die Daumen,Der,Daumen,daumen,0,"Der Daumen, Die Daumen","El polze, els polzes"
Reading,Das Lesen,-,Das,Lesen,lesen,2,"Das Lesen, -","la lectura, les lectures"
Fun,Der Spaß,-,Der,Spaß,spaß,0,"Der Spaß, -","La diversió, -"
Candle,Die Kerze,Die Kerzen,Die,Kerze,kerze,1,"Die Kerze, Die Kerzen","L'espelma, les espelmes"
Cave,Die Höhle,Die Höhlen,Die,Höhle,höhle,1,"Die Höhle, Die Höhlen","La cova, les coves"
Post,Die Post,-,Die,Post,post,1,"Die Post, -","L'oficina, les oficines"
Prison,Das Gefängnis,Die Gefängnisse,Das,Gefängnis,gefängnis,2,"Das Gefängnis, Die Gefängnisse","La presó, les presons"
Emotion,Die Emotion,Die Emotionen,Die,Emotion,emotion,1,"Die Emotion, Die Emotionen","L'emoció, les emocions"
Leader,Der Führer,Die Führer,Der,Führer,führer,0,"Der Führer, Die Führer","El líder, els líders"
Degree,Der Abschluss,Die Abschlüsse,Der,Abschluss,abschluss,0,"Der Abschluss, Die Abschlüsse","El grau, els graus"
Feature,Das Merkmal,Die Merkmale,Das,Merkmal,merkmal,2,"Das Merkmal, Die Merkmale","La característica, les característiques"
Ticket,Die Eintrittskarte,Die Eintrittskarten,Die,Eintrittskarte,eintrittskarte,1,"Die Eintrittskarte, Die Eintrittskarten","El bitllet, els bitllets"
Alien,Das Alien,Die Aliens,Das,Alien,alien,2,"Das Alien, Die Aliens","L'alienígena, els alienígenes"
Lesson,Die Lektion,Die Lektionen,Die,Lektion,lektion,1,"Die Lektion, Die Lektionen","La lliçó, les lliçons"
Desert,Die Wüste,Die Wüsten,Die,Wüste,wüste,1,"Die Wüste, Die Wüsten","El desert, els deserts"
Cut,Der Schnitt,Die Schnitte,Der,Schnitt,schnitt,0,"Der Schnitt, Die Schnitte","El tall, els talls"
Mess,Das Durcheinander,-,Das,Durcheinander,durcheinander,2,"Das Durcheinander, -","La confusió, -"
Warning,Die Warnung,Die Warnungen,Die,Warnung,warnung,1,"Die Warnung, Die Warnungen","L'avís, les advertències"
Tale,Das Märchen,Die Märchen,Das,Märchen,märchen,2,"Das Märchen, Die Märchen","El conte de fades, els contes de fades"
Funeral,Die Beerdigung,Die Beerdigungen,Die,Beerdigung,beerdigung,1,"Die Beerdigung, Die Beerdigungen","El funeral, els funerals"
Cab,Das Taxi,Die Taxis,Das,Taxi,taxi,2,"Das Taxi, Die Taxis","El taxi, els taxis"
Reporter,Der Reporter,Die Reporter,Der,Reporter,reporter,0,"Der Reporter, Die Reporter","El reporter, els reporters"
Present,Das Geschenk,Die Geschenke,Das,Geschenk,geschenk,2,"Das Geschenk, Die Geschenke","El regal, els regals"
Theater,Das Theater,Die Theater,Das,Theater,theater,2,"Das Theater, Die Theater","El teatre, els teatres"
Length,Die Länge,-,Die,Länge,länge,1,"Die Länge, -","La longitud, -"
Mud,Der Schlamm,-,Der,Schlamm,schlamm,0,"Der Schlamm, -","El fang, -"
Science,Die Wissenschaft,-,Die,Wissenschaft,wissenschaft,1,"Die Wissenschaft, -","la ciència, les ciències"
Drop,Der Tropfen,Die Tropfen,Der,Tropfen,tropfen,0,"Der Tropfen, Die Tropfen","La gota, les gotes"
String,Die Schnur,Die Schnüre,Die,Schnur,schnur,1,"Die Schnur, Die Schnüre","El cordó, els cordons"
Speech,Die Rede,Die Reden,Die,Rede,rede,1,"Die Rede, Die Reden","El discurs, els discursos"
Copy,Das Exemplar,Die Exemplare,Das,Exemplar,exemplar,2,"Das Exemplar, Die Exemplare","L'espècimen, els espècimens"
Cow,Die Kuh,Die Kühe,Die,Kuh,kuh,1,"Die Kuh, Die Kühe","La vaca, les vaques"
Worker,Der Arbeiter,Die Arbeiter,Der,Arbeiter,arbeiter,0,"Der Arbeiter, Die Arbeiter","El treballador, els treballadors"
Thigh,Der Oberschenkel,Die Oberschenkel,Der,Oberschenkel,oberschenkel,0,"Der Oberschenkel, Die Oberschenkel","Les cuixes, les cuixes"
Lab,Das Labor,Die Labore,Das,Labor,labor,2,"Das Labor, Die Labore","El laboratori, els laboratoris"
Roll,Die Rolle,Die Rollen,Die,Rolle,rolle,1,"Die Rolle, Die Rollen","El paper, els rols"
Fruit,Die Frucht,Die Früchte,Die,Frucht,frucht,1,"Die Frucht, Die Früchte","La fruita, la fruita"
Patch,Das Patch,Die Patches,Das,Patch,patch,2,"Das Patch, Die Patches","El pegat, els pegats"
Silk,Die Seide,-,Die,Seide,seide,1,"Die Seide, -","La seda, -"
Buck,Der Dollar,Die Dollars,Der,Dollar,dollar,0,"Der Dollar, Die Dollars","El dòlar, els dòlars"
Brick,Der Ziegel,Die Ziegel,Der,Ziegel,ziegel,0,"Der Ziegel, Die Ziegel","El maó, els maons"
Rifle,Das Gewehr,Die Gewehre,Das,Gewehr,gewehr,2,"Das Gewehr, Die Gewehre","El rifle, les armes"
Career,Die Karriere,Die Karrieren,Die,Karriere,karriere,1,"Die Karriere, Die Karrieren","La carrera, les carreres"
Issue,Die Ausgabe,Die Ausgaben,Die,Ausgabe,ausgabe,1,"Die Ausgabe, Die Ausgaben","La sortida, les despeses"
Opportunity,Die Gelegenheit,Die Gelegenheiten,Die,Gelegenheit,gelegenheit,1,"Die Gelegenheit, Die Gelegenheiten","L'oportunitat, les oportunitats"
Director,Der Regisseur,Die Regisseure,Der,Regisseur,regisseur,0,"Der Regisseur, Die Regisseure","El director, els directors"
Monster,Das Monster,Die Monster,Das,Monster,monster,2,"Das Monster, Die Monster","El monstre, els monstres"
Vehicle,Das Fahrzeug,Die Fahrzeuge,Das,Fahrzeug,fahrzeug,2,"Das Fahrzeug, Die Fahrzeuge","El vehicle, els vehicles"
Alley,Die Gasse,Die Gassen,Die,Gasse,gasse,1,"Die Gasse, Die Gassen","El carreró, els carrerons"
Sleeve,Der Ärmel,Die Ärmel,Der,Ärmel,ärmel,0,"Der Ärmel, Die Ärmel","La màniga, les mànigues"
Grave,Das Grab,Die Gräber,Das,Grab,grab,2,"Das Grab, Die Gräber","La tomba, les tombes"
Bush,Der Busch,Die Büsche,Der,Busch,busch,0,"Der Busch, Die Büsche","L'arbust, els arbustos"
Dining,Das Esszimmer,-,Das,Esszimmer,esszimmer,2,"Das Esszimmer, -","El menjador, -"
Opening,Die Öffnung,Die Öffnungen,Die,Öffnung,öffnung,1,"Die Öffnung, Die Öffnungen","L'obertura, les obertures"
Twin,Das Zwilling,Die Zwillinge,Das,Zwilling,zwilling,2,"Das Zwilling, Die Zwillinge","Els bessons, els bessons"
Barn,Die Scheune,Die Scheunen,Die,Scheune,scheune,1,"Die Scheune, Die Scheunen","El graner, els graners"
Pound,Das Pfund,Die Pfunde,Das,Pfund,pfund,2,"Das Pfund, Die Pfunde","La lliura, les lliures"
Site,Die Seite,Die Seiten,Die,Seite,seite,1,"Die Seite, Die Seiten","La pàgina, les pàgines"
Flash,Der Blitz,Die Blitze,Der,Blitz,blitz,0,"Der Blitz, Die Blitze","El llamp, el llamp"
Judge,Der Richter,Die Richter,Der,Richter,richter,0,"Der Richter, Die Richter","El jutge, els jutges"
Mass,Die Masse,Die Massen,Die,Masse,masse,1,"Die Masse, Die Massen","Les masses, les masses"
Process,Der Prozess,Die Prozesse,Der,Prozess,prozess,0,"Der Prozess, Die Prozesse","El procés, els processos"
Tie,Die Krawatte,Die Krawatten,Die,Krawatte,krawatte,1,"Die Krawatte, Die Krawatten","La corbata, les corbates"
Purse,Die Geldbörse,Die Geldbörsen,Die,Geldbörse,geldbörse,1,"Die Geldbörse, Die Geldbörsen","La cartera, les carteres"
Pipe,Die Pfeife,Die Pfeifen,Die,Pfeife,pfeife,1,"Die Pfeife, Die Pfeifen","La canonada, les canonades"
Dragon,Der Drache,Die Drachen,Der,Drache,drache,0,"Der Drache, Die Drachen","El drac, els dracs"
Horizon,Der Horizont,Die Horizonte,Der,Horizont,horizont,0,"Der Horizont, Die Horizonte","L'horitzó, els horitzons"
Tray,Das Tablett,Die Tabletts,Das,Tablett,tablett,2,"Das Tablett, Die Tabletts","La safata, les safates"
Envelope,Der Umschlag,Die Umschläge,Der,Umschlag,umschlag,0,"Der Umschlag, Die Umschläge","El sobre, els sobres"
Check,Der Scheck,Die Schecks,Der,Scheck,scheck,0,"Der Scheck, Die Schecks","El xec, els xecs"
Adult,Der Erwachsene,Die Erwachsenen,Der,Erwachsene,erwachsene,0,"Der Erwachsene, Die Erwachsenen","L'adult, els adults"
Emergency,Der Notfall,Die Notfälle,Der,Notfall,notfall,0,"Der Notfall, Die Notfälle","L'emergència, les emergències"
Material,Das Material,Die Materialien,Das,Material,material,2,"Das Material, Die Materialien","El material, els materials"
Childhood,Die Kindheit,-,Die,Kindheit,kindheit,1,"Die Kindheit, -","la infantesa, les infanteses"
Habit,Die Gewohnheit,Die Gewohnheiten,Die,Gewohnheit,gewohnheit,1,"Die Gewohnheit, Die Gewohnheiten","L'hàbit, els hàbits"
Artist,Der Künstler,Die Künstler,Der,Künstler,künstler,0,"Der Künstler, Die Künstler","L'artista, els artistes"
Address,Die Adresse,Die Adressen,Die,Adresse,adresse,1,"Die Adresse, Die Adressen","L'adreça, les adreces"
Scent,Der Duft,Die Düfte,Der,Duft,duft,0,"Der Duft, Die Düfte","L'olor, les olors"
Universe,Das Universum,Die Universen,Das,Universum,universum,2,"Das Universum, Die Universen","L'univers, els universos"
Nod,Das Nicken,-,Das,Nicken,nicken,2,"Das Nicken, -","El cap amb el cap, -"
Shell,Die Muschel,Die Muscheln,Die,Muschel,muschel,1,"Die Muschel, Die Muscheln","La closca, les petxines"
Community,Die Gemeinschaft,Die Gemeinschaften,Die,Gemeinschaft,gemeinschaft,1,"Die Gemeinschaft, Die Gemeinschaften","La comunitat, les comunitats"
Start,Der Start,Die Starts,Der,Start,start,0,"Der Start, Die Starts","L'inici, els inicis"
Wound,Die Wunde,Die Wunden,Die,Wunde,wunde,1,"Die Wunde, Die Wunden","La ferida, les ferides"
Mouse,Die Maus,Die Mäuse,Die,Maus,maus,1,"Die Maus, Die Mäuse","El ratolí, els ratolins"
Pilot,Der Pilot,Die Piloten,Der,Pilot,pilot,0,"Der Pilot, Die Piloten","El pilot, els pilots"
Grade,Die Note,Die Noten,Die,Note,note,1,"Die Note, Die Noten","La nota, les notes"
Video,Das Video,Die Videos,Das,Video,video,2,"Das Video, Die Videos","El vídeo, els vídeos"
Basket,Der Korb,Die Körbe,Der,Korb,korb,0,"Der Korb, Die Körbe","La cistella, les cistelles"
Wagon,Der Waggon,Die Waggons,Der,Waggon,waggon,0,"Der Waggon, Die Waggons","El vagó, els vagons"
Attempt,Der Versuch,Die Versuche,Der,Versuch,versuch,0,"Der Versuch, Die Versuche","L'intent, les proves"
Sofa,Das Sofa,Die Sofas,Das,Sofa,sofa,2,"Das Sofa, Die Sofas","El sofà, els sofàs"
Cake,Der Kuchen,Die Kuchen,Der,Kuchen,kuchen,0,"Der Kuchen, Die Kuchen","El pastís, els pastissos"
Fellow,Der Kerl,Die Kerle,Der,Kerl,kerl,0,"Der Kerl, Die Kerle","El noi, els nois"
Affair,Die Angelegenheit,Die Angelegenheiten,Die,Angelegenheit,angelegenheit,1,"Die Angelegenheit, Die Angelegenheiten","L'assumpte, els assumptes"
Shore,Die Küste,Die Küsten,Die,Küste,küste,1,"Die Küste, Die Küsten","La costa, les costes"
General,Der General,Die Generäle,Der,General,general,0,"Der General, Die Generäle","El general, els generals"
Root,Die Wurzel,Die Wurzeln,Die,Wurzel,wurzel,1,"Die Wurzel, Die Wurzeln","L'arrel, les arrels"
Robe,Der Umhang,Die Umhänge,Der,Umhang,umhang,0,"Der Umhang, Die Umhänge","La capa, les capes"
Concern,Die Sorge,Die Sorgen,Die,Sorge,sorge,1,"Die Sorge, Die Sorgen","La preocupació, les preocupacions"
Press,Die Presse,-,Die,Presse,presse,1,"Die Presse, -","La premsa, -"
Rat,Die Ratte,Die Ratten,Die,Ratte,ratte,1,"Die Ratte, Die Ratten","La rata, les rates"
Society,Die Gesellschaft,Die Gesellschaften,Die,Gesellschaft,gesellschaft,1,"Die Gesellschaft, Die Gesellschaften","La Societat, les Societats"
Style,Der Stil,Die Stile,Der,Stil,stil,0,"Der Stil, Die Stile","L'estil, els estils"
County,Der Bezirk,Die Bezirke,Der,Bezirk,bezirk,0,"Der Bezirk, Die Bezirke","El districte, els districtes"
Command,Der Befehl,Die Befehle,Der,Befehl,befehl,0,"Der Befehl, Die Befehle","L'ordre, les ordres"
Visitor,Der Besucher,Die Besucher,Der,Besucher,besucher,0,"Der Besucher, Die Besucher","El visitant, els visitants"
Model,Das Modell,Die Modelle,Das,Modell,modell,2,"Das Modell, Die Modelle","El model, els models"
Chamber,Die Kammer,Die Kammern,Die,Kammer,kammer,1,"Die Kammer, Die Kammern","La Cambra, les Cambres"
Beast,Das Tier,Die Tiere,Das,Tier,tier,2,"Das Tier, Die Tiere","L'animal, els animals"
Bunch,Der Strauß,Die Sträuße,Der,Strauß,strauß,0,"Der Strauß, Die Sträuße","El ram, els rams"
Background,Der Hintergrund,Die Hintergründe,Der,Hintergrund,hintergrund,0,"Der Hintergrund, Die Hintergründe","El fons, els fons"
Unit,Die Einheit,Die Einheiten,Die,Einheit,einheit,1,"Die Einheit, Die Einheiten","La unitat, les unitats"
Furniture,Das Möbel,Die Möbel,Das,Möbel,möbel,2,"Das Möbel, Die Möbel","Els mobles, els mobles"
Nail,Der Nagel,Die Nägel,Der,Nagel,nagel,0,"Der Nagel, Die Nägel","L'ungla, les ungles"
Scream,Der Schrei,Die Schreie,Der,Schrei,schrei,0,"Der Schrei, Die Schreie","El crit, els crits"
Property,Das Eigentum,-,Das,Eigentum,eigentum,2,"Das Eigentum, -","La propietat, -"
Equipment,Die Ausrüstung,-,Die,Ausrüstung,ausrüstung,1,"Die Ausrüstung, -","L'equip, els equips"
Driveway,Die Auffahrt,Die Auffahrten,Die,Auffahrt,auffahrt,1,"Die Auffahrt, Die Auffahrten","L'Ascensió, Les Ascensions"
Grip,Der Griff,Die Griffe,Der,Griff,griff,0,"Der Griff, Die Griffe","El mànec, les nanses"
Tube,Die Röhre,Die Röhren,Die,Röhre,röhre,1,"Die Röhre, Die Röhren","El tub, els tubs"
Ash,Die Asche,Die Aschen,Die,Asche,asche,1,"Die Asche, Die Aschen","Les cendres, les cendres"
Fan,Der Ventilator,Die Ventilatoren,Der,Ventilator,ventilator,0,"Der Ventilator, Die Ventilatoren","El ventilador, els fans"
Opinion,Die Meinung,Die Meinungen,Die,Meinung,meinung,1,"Die Meinung, Die Meinungen","L'opinió, les opinions"
Data,Die Daten,-,Die,Daten,daten,1,"Die Daten, -","la dada, les dades"
Connection,Die Verbindung,Die Verbindungen,Die,Verbindung,verbindung,1,"Die Verbindung, Die Verbindungen","La connexió, les connexions"
Trick,Der Trick,Die Tricks,Der,Trick,trick,0,"Der Trick, Die Tricks","El truc, els trucs"
Mystery,Das Geheimnis,Die Geheimnisse,Das,Geheimnis,geheimnis,2,"Das Geheimnis, Die Geheimnisse","El secret, els secrets"
Period,Die Periode,Die Perioden,Die,Periode,periode,1,"Die Periode, Die Perioden","El període, els períodes"
Writing,Die Schrift,Die Schriften,Die,Schrift,schrift,1,"Die Schrift, Die Schriften","Les Escriptures, les Escriptures"
Horror,Der Horror,-,Der,Horror,horror,0,"Der Horror, -","L'horror, els horrors"
Candy,Die Süßigkeiten,-,Die,Süßigkeiten,süßigkeiten,1,"Die Süßigkeiten, -","el dolç, els dolços"
Bitch,Die Hündin,Die Hündinnen,Die,Hündin,hündin,1,"Die Hündin, Die Hündinnen","la puta, les putes"
Health,Die Gesundheit,-,Die,Gesundheit,gesundheit,1,"Die Gesundheit, -","la salut, les saluts"
Manager,Der Manager,Die Manager,Der,Manager,manager,0,"Der Manager, Die Manager","El gerent, els gerents"
Safety,Die Sicherheit,-,Die,Sicherheit,sicherheit,1,"Die Sicherheit, -","la seguretat, les seguretats"
Height,Die Höhe,Die Höhen,Die,Höhe,höhe,1,"Die Höhe, Die Höhen","L'alçada, les altures"
Appearance,Das Aussehen,-,Das,Aussehen,aussehen,2,"Das Aussehen, -","L'aparença, les aparençes"
Sigh,Der Seufzer,Die Seufzer,Der,Seufzer,seufzer,0,"Der Seufzer, Die Seufzer","El sospir, els sospirs"
Mine,Die Mine,Die Minen,Die,Mine,mine,1,"Die Mine, Die Minen","La mina, les mines"
Cloth,Der Stoff,Die Stoffe,Der,Stoff,stoff,0,"Der Stoff, Die Stoffe","El teixit, els teixits"
Reaction,Die Reaktion,Die Reaktionen,Die,Reaktion,reaktion,1,"Die Reaktion, Die Reaktionen","La reacció, les reaccions"
Source,Die Quelle,Die Quellen,Die,Quelle,quelle,1,"Die Quelle, Die Quellen","La font, les fonts"
Self,Das Selbst,-,Das,Selbst,selbst,2,"Das Selbst, -","El Jo, -"
Pistol,Die Pistole,Die Pistolen,Die,Pistole,pistole,1,"Die Pistole, Die Pistolen","La pistola, les pistoles"
Airport,Der Flughafen,Die Flughäfen,Der,Flughafen,flughafen,0,"Der Flughafen, Die Flughäfen","L'aeroport, els aeroports"
Hero,Der Held,Die Helden,Der,Held,held,0,"Der Held, Die Helden","L'heroi, els herois"
Promise,Das Versprechen,Die Versprechen,Das,Versprechen,versprechen,2,"Das Versprechen, Die Versprechen","La promesa, les promeses"
Bow,Der Bogen,Die Bögen,Der,Bogen,bogen,0,"Der Bogen, Die Bögen","L'arc, els arcs"
Tent,Das Zelt,Die Zelte,Das,Zelt,zelt,2,"Das Zelt, Die Zelte","La tenda, les tendes"
Booth,Der Stand,Die Stände,Der,Stand,stand,0,"Der Stand, Die Stände","L'estand, els estands"
Cash,Das Bargeld,-,Das,Bargeld,bargeld,2,"Das Bargeld, -","l'efectiu, els efectius"
Avenue,Die Allee,Die Alleen,Die,Allee,allee,1,"Die Allee, Die Alleen","L'avinguda, les avingudes"
TShirt,Das T-Shirt,Die T-Shirts,Das,T-Shirt,t-shirt,2,"Das T-Shirt, Die T-Shirts","La samarreta, les samarretes"
Carpet,Der Teppich,Die Teppiche,Der,Teppich,teppich,0,"Der Teppich, Die Teppiche","La catifa, les catifes"
Basement,Der Keller,Die Keller,Der,Keller,keller,0,"Der Keller, Die Keller","El celler, els cellers"
Girlfriend,Die Freundin,Die Freundinnen,Die,Freundin,freundin,1,"Die Freundin, Die Freundinnen","La núvia, les núvies"
Beard,Der Bart,Die Bärte,Der,Bart,bart,0,"Der Bart, Die Bärte","La barba, les barbes"
Brow,Die Augenbraue,Die Augenbrauen,Die,Augenbraue,augenbraue,1,"Die Augenbraue, Die Augenbrauen","La cella, les celles"
Display,Der Bildschirm,Die Bildschirme,Der,Bildschirm,bildschirm,0,"Der Bildschirm, Die Bildschirme","La pantalla, les pantalles"
Signal,Das Signal,Die Signale,Das,Signal,signal,2,"Das Signal, Die Signale","El senyal, els senyals"
Servant,Der Diener,Die Diener,Der,Diener,diener,0,"Der Diener, Die Diener","El servent, els servents"
Whisper,Das Flüstern,Die Flüster,Das,Flüstern,flüstern,2,"Das Flüstern, Die Flüster","Els xiuxiueigs, els xiuxiueigs"
Doubt,Der Zweifel,Die Zweifel,Der,Zweifel,zweifel,0,"Der Zweifel, Die Zweifel","El dubte, els dubtes"
Account,Das Konto,Die Konten,Das,Konto,konto,2,"Das Konto, Die Konten","El compte, els comptes"
Magic,Die Magie,-,Die,Magie,magie,1,"Die Magie, -","La màgia, -"
Hank,Der Klumpen,Die Klumpen,Der,Klumpen,klumpen,0,"Der Klumpen, Die Klumpen","El bony, els grumolls"
Limb,Das Glied,Die Glieder,Das,Glied,glied,2,"Das Glied, Die Glieder","El penis, les extremitats"
Bastard,Der Bastard,Die Bastarde,Der,Bastard,bastard,0,"Der Bastard, Die Bastarde","El bastard, -"
Skull,Der Schädel,Die Schädel,Der,Schädel,schädel,0,"Der Schädel, Die Schädel","La calavera, les calaveres"
