english,singular,plural,article,noun,x,y,possessive,croatian,n_words
Spirit,Der Geist,Die Geister,Der,Geist,duh,0,moj,Moj duh,2
Block,Der Block,Die Blöcke,Der,Block,blok,0,moj,Moj blok,2
Bridge,Die Brücke,Die Brücken,Die,Brücke,most,0,moj,Moj most,2
Dust,Der Staub,-,Der,Staub,prašina,1,moja,Moja prašina,2
Cell,Die Zelle,Die Zellen,Die,Zelle,ćelija,1,moja,Moja ćelija,2
Wine,Der Wein,Die Weine,Der,Wein,vino,2,moje,Moje vino,2
Boot,Der Stiefel,Die Stiefel,Der,Stiefel,čizma,1,moja,Moja čizma,2
Choice,Die Wahl,Die Wahlen,Die,Wahl,izbor,0,moj,Moj izbor,2
Row,Die Reihe,Die Reihen,Die,Reihe,serija,1,moja,Moja serija,2
Plane,Das Flugzeug,Die Flugzeuge,Das,Flugzeug,avion,0,moj,Moj avion,2
Watch,Die Uhr,Die Uhren,Die,Uhr,sat,0,moj,Moj sat,2
Grandmother,Die Großmutter,-,Die,Großmutter,baka,1,moja,Moja baka,2
Wing,Der Flügel,Die Flügel,Der,Flügel,krilo,2,moje,Moje krilo,2
Bob,Der Bob,Die Bobs,Der,Bob,bob,0,moj,Moj Bob,2
Club,Der Club,Die Clubs,Der,Club,klub,0,moj,Moj klub,2
Master,Der Meister,Die Meister,Der,Meister,gospodar,0,moj,Moj gospodar,2
Grace,Die Gnade,Die Gnaden,Die,Gnade,milosti,1,moja,Moja milosti,2
Forest,Der Wald,Die Wälder,Der,Wald,šuma,1,moja,Moja šuma,2
Size,Die Größe,Die Größen,Die,Größe,veličina,1,moja,Moja veličina,2
Set,Der Satz,Die Sätze,Der,Satz,rečenica,1,moja,Moja rečenica,2
Marriage,Die Ehe,Die Ehen,Die,Ehe,brak,0,moj,Moj brak,2
Forehead,Die Stirn,Die Stirnen,Die,Stirn,čelo,2,moje,Moje čelo,2
Storm,Der Sturm,Die Stürme,Der,Sturm,oluja,1,moja,Moja oluja,2
Doorway,Der Durchgang,Die Durchgänge,Der,Durchgang,odlomak,0,moj,Moj odlomak,2
Situation,Die Situation,Die Situationen,Die,Situation,situacija,1,moja,Moja situacija,2
Counter,Die Theke,Die Theken,Die,Theke,brojač,0,moj,Moj brojač,2
Neighbor,Der Nachbar,Die Nachbarn,Der,Nachbar,susjed,0,moj,Moj susjed,2
Photo,Das Foto,Die Fotos,Das,Foto,fotografija,1,moja,Moja fotografija,2
Stage,Die Bühne,Die Bühnen,Die,Bühne,pozornica,1,moja,Moja pozornica,2
Meeting,Das Treffen,Die Treffen,Das,Treffen,sastanak,0,moj,Moj sastanak,2
Security,Die Sicherheit,Die Sicherheiten,Die,Sicherheit,sigurnost,1,moja,Moja sigurnost,2
Event,Das Ereignis,Die Ereignisse,Das,Ereignis,događaj,0,moj,Moj događaj,2
Ceiling,Die Decke,Die Decken,Die,Decke,deka,1,moja,Moja deka,2
Engine,Der Motor,Die Motoren,Der,Motor,motor,0,moj,Moj motor,2
Gift,Das Geschenk,Die Geschenke,Das,Geschenk,dar,0,moj,Moj dar,2
Restaurant,Das Restaurant,Die Restaurants,Das,Restaurant,restoran,0,moj,Moj restoran,2
Board,Das Brett,Die Bretter,Das,Brett,ploča,1,moja,Moja ploča,2
Hallway,Der Flur,Die Flure,Der,Flur,hodnik,0,moj,Moj hodnik,2
Army,Die Armee,-,Die,Armee,vojska,1,moja,Moja vojska,2
Effort,Der Aufwand,Die Aufwände,Der,Aufwand,trud,0,moj,Moj trud,2
East,Der Osten,-,Der,Osten,istok,0,moj,Moj Istok,2
Agent,Der Agent,Die Agenten,Der,Agent,agent,0,moj,Moj agent,2
Future,Die Zukunft,Die Zukunft,Die,Zukunft,budućnost,1,moja,Moja budućnost,2
Pant,Die Hose,Die Hosen,Die,Hose,hlače,2,moje,Moje hlače,2
Flight,Der Flug,Die Flüge,Der,Flug,let,0,moj,Moj let,2
Sex,Der Sex,-,Der,Sex,spol,0,moj,Moj spol,2
Court,Das Gericht,Die Gerichte,Das,Gericht,jelo,2,moje,Moje jelo,2
Course,Der Kurs,Die Kurse,Der,Kurs,tečaj,0,moj,Moj tečaj,2
Dirt,Der Schmutz,-,Der,Schmutz,prljavština,1,moja,Moja prljavština,2
Egg,Das Ei,Die Eier,Das,Ei,jaje,2,moje,Moje jaje,2
Chin,Das Kinn,Die Kinne,Das,Kinn,brada,1,moja,Moja brada,2
Stranger,Der Fremde,Die Fremden,Der,Fremde,stranac,0,moj,Moj stranac,2
Detail,Das Detail,Die Details,Das,Detail,detalj,0,moj,Moj detalj,2
Crew,Die Besatzung,Die Besatzungen,Die,Besatzung,posada,1,moja,Moja posada,2
Fall,Der Herbst,Die Fälle,Der,Herbst,jesen,1,moja,Moja jesen,2
Guest,Der Gast,Die Gäste,Der,Gast,gost,0,moj,Moj gost,2
Experience,Die Erfahrung,Die Erfahrungen,Die,Erfahrung,iskustvo,2,moje,Moje iskustvo,2
Joke,Der Witz,Die Witze,Der,Witz,šala,1,moja,Moja šala,2
Sand,Der Sand,-,Der,Sand,pijesak,0,moj,Moj pijesak,2
Fist,Die Faust,Die Fäuste,Die,Faust,šaka,1,moja,Moja šaka,2
Action,Die Aktion,Die Aktionen,Die,Aktion,akcija,1,moja,Moja akcija,2
Walk,Der Spaziergang,Die Spaziergänge,Der,Spaziergang,šetnja,1,moja,Moja šetnja,2
Wedding,Die Hochzeit,Die Hochzeiten,Die,Hochzeit,vjenčanje,2,moje,Moje vjenčanje,2
Nature,Die Natur,-,Die,Natur,priroda,1,moja,Moja priroda,2
Planet,Der Planet,Die Planeten,Der,Planet,planet,0,moj,Moj planet,2
Cousin,Der Cousin,Die Cousins,Der,Cousin,rođak,0,moj,Moj rođak,2
Movement,Die Bewegung,Die Bewegungen,Die,Bewegung,pokret,0,moj,Moj pokret,2
Record,Der Rekord,Die Rekorde,Der,Rekord,rekord,0,moj,Moj rekord,2
Camp,Das Lager,Die Lager,Das,Lager,skladište,2,moje,Moje skladište,2
Newspaper,Die Zeitung,Die Zeitungen,Die,Zeitung,novine,2,moje,Moje novine,2
Ray,Der Strahl,Die Strahlen,Der,Strahl,zraka,1,moja,Moja zraka,2
Human,Der Mensch,Die Menschen,Der,Mensch,čovjek,0,moj,Moj čovjek,2
Couch,Die Couch,Die Couches,Die,Couch,kauč,0,moj,Moj kauč,2
Grandfather,Der Großvater,Die Großväter,Der,Großvater,djed,0,moj,Moj djed,2
Secret,Das Geheimnis,Die Geheimnisse,Das,Geheimnis,tajna,1,moja,Moja tajna,2
Beauty,Die Schönheit,Die Schönheiten,Die,Schönheit,ljepota,1,moja,Moja ljepota,2
Presence,Die Anwesenheit,-,Die,Anwesenheit,prisutnost,1,moja,Moja prisutnost,2
Bell,Die Glocke,Die Glocken,Die,Glocke,zvono,2,moje,Moje zvono,2
Button,Der Knopf,Die Knöpfe,Der,Knopf,gumb,0,moj,Moj gumb,2
List,Die Liste,Die Listen,Die,Liste,popis,0,moj,Moj popis,2
Level,Das Level,Die Level,Das,Level,razina,1,moja,Moja razina,2
Date,Das Datum,Die Daten,Das,Datum,spoj,0,moj,Moj spoj,2
Subject,Das Fach,Die Fächer,Das,Fach,tema,1,moja,Moja tema,2
Difference,Der Unterschied,Die Unterschiede,Der,Unterschied,razlika,1,moja,Moja razlika,2
Pause,Die Pause,Die Pausen,Die,Pause,pauza,1,moja,Moja pauza,2
Van,Der Lieferwagen,Die Lieferwagen,Der,Lieferwagen,kombi,0,moj,Moj kombi,2
Blade,Die Klinge,Die Klingen,Die,Klinge,oštrica,1,moja,Moja oštrica,2
Television,Das Fernsehen,Die Fernseher,Das,Fernsehen,tv,0,moj,Moj TV,2
Cover,Die Abdeckung,Die Abdeckungen,Die,Abdeckung,pokrivenost,1,moja,Moja pokrivenost,2
Past,Die Vergangenheit,-,Die,Vergangenheit,prošlost,1,moja,Moja prošlost,2
Lap,Der Schoß,Die Schoß,Der,Schoß,maternica,1,moja,Moja maternica,2
Band,Die Band,Die Bands,Die,Band,bend,0,moj,Moj bend,2
Lawyer,Der Anwalt,Die Anwälte,Der,Anwalt,odvjetnik,0,moj,Moj odvjetnik,2
Magazine,Das Magazin,Die Magazine,Das,Magazin,časopis,0,moj,Moj časopis,2
Branch,Der Ast,Die Äste,Der,Ast,podružnica,1,moja,Moja podružnica,2
Frame,Der Rahmen,Die Rahmen,Der,Rahmen,okvir,0,moj,Moj okvir,2
Deck,Das Deck,Die Decks,Das,Deck,špil,0,moj,Moj špil,2
Effect,Die Wirkung,Die Wirkungen,Die,Wirkung,utjecaj,0,moj,Moj utjecaj,2
Dance,Der Tanz,Die Tänze,Der,Tanz,ples,0,moj,Moj ples,2
Vision,Die Vision,Die Visionen,Die,Vision,vizija,1,moja,Moja vizija,2
Ass,Der Hintern,Die Hintern,Der,Hintern,guza,1,moja,Moja guza,2
Character,Der Charakter,Die Charaktere,Der,Charakter,lik,0,moj,Moj lik,2
Goodbye,Der Abschied,-,Der,Abschied,oproštaj,0,moj,Moj oproštaj,2
Parking,Das Parken,-,Das,Parken,parkiralište,2,moje,Moje parkiralište,2
Breakfast,Das Frühstück,Die Frühstücke,Das,Frühstück,doručak,0,moj,Moj doručak,2
Gesture,Die Geste,Die Gesten,Die,Geste,gesta,1,moja,Moja gesta,2
Luck,Das Glück,-,Das,Glück,sreća,1,moja,Moja sreća,2
Gas,Das Gas,-,Das,Gas,plin,0,moj,Moj plin,2
Professor,Der Professor,Die Professoren,Der,Professor,profesor,0,moj,Moj profesor,2
University,Die Universität,Die Universitäten,Die,Universität,sveučilište,2,moje,Moje sveučilište,2
Ocean,Der Ozean,Die Ozeane,Der,Ozean,ocean,0,moj,Moj ocean,2
Century,Das Jahrhundert,Die Jahrhunderte,Das,Jahrhundert,stoljeće,2,moje,Moje stoljeće,2
Honey,Der Honig,-,Der,Honig,dušo,0,moj,Moj dušo,2
Pile,Der Stapel,Die Stapel,Der,Stapel,stack,0,moj,Moj Stack,2
Bowl,Die Schüssel,Die Schüsseln,Die,Schüssel,zdjela,1,moja,Moja zdjela,2
Base,Die Basis,Die Basen,Die,Basis,baza,1,moja,Moja baza,2
Fence,Der Zaun,Die Zäune,Der,Zaun,ograda,1,moja,Moja ograda,2
Rule,Die Regel,Die Regeln,Die,Regel,pravilo,2,moje,Moje pravilo,2
Laughter,Das Lachen,-,Das,Lachen,smijeh,0,moj,Moj smijeh,2
Anger,Der Ärger,-,Der,Ärger,bijes,0,moj,Moj bijes,2
Sweat,Der Schweiß,-,Der,Schweiß,znoj,0,moj,Moj znoj,2
Accident,Der Unfall,Die Unfälle,Der,Unfall,nesreća,1,moja,Moja nesreća,2
Decision,Die Entscheidung,Die Entscheidungen,Die,Entscheidung,odluka,1,moja,Moja odluka,2
Angel,Der Engel,Die Engel,Der,Engel,anđeo,0,moj,Moj anđeo,2
Strength,Die Stärke,Die Stärken,Die,Stärke,snaga,1,moja,Moja snaga,2
Chicken,Das Huhn,Die Hühner,Das,Huhn,pile,2,moje,Moje pile,2
Study,Das Studium,Die Studien,Das,Studium,studije,2,moje,Moje studije,2
Wrist,Das Handgelenk,Die Handgelenke,Das,Handgelenk,zapešće,2,moje,Moje zapešće,2
Stop,Der Halt,Die Halte,Der,Halt,držanje,2,moje,Moje držanje,2
Hip,Die Hüfte,Die Hüften,Die,Hüfte,kuk,0,moj,Moj kuk,2
Government,Die Regierung,Die Regierungen,Die,Regierung,vlada,1,moja,Moja Vlada,2
Belly,Der Bauch,Die Bäuche,Der,Bauch,trbuh,0,moj,Moj trbuh,2
Queen,Die Königin,Die Königinnen,Die,Königin,kraljice,1,moja,Moja kraljice,2
Report,Der Bericht,Die Berichte,Der,Bericht,izvješće,2,moje,Moje izvješće,2
Tail,Der Schwanz,Die Schwänze,Der,Schwanz,kurac,0,moj,Moj kurac,2
Plant,Die Pflanze,Die Pflanzen,Die,Pflanze,biljka,1,moja,Moja biljka,2
Flame,Die Flamme,Die Flammen,Die,Flamme,plamen,0,moj,Moj plamen,2
Belt,Der Gürtel,Die Gürtel,Der,Gürtel,pojas,0,moj,Moj pojas,2
Neighborhood,Die Nachbarschaft,Die Nachbarschaften,Die,Nachbarschaft,susjedstvo,2,moje,Moje susjedstvo,2
Energy,Die Energie,-,Die,Energie,energija,1,moja,Moja energija,2
Green,Das Grün,-,Das,Grün,zelena,1,moja,Moja zelena,2
Enemy,Der Feind,Die Feinde,Der,Feind,neprijatelj,0,moj,Moj neprijatelj,2
Entrance,Der Eingang,Die Eingänge,Der,Eingang,ulaz,0,moj,Moj ulaz,2
Library,Die Bibliothek,Die Bibliotheken,Die,Bibliothek,knjižnica,1,moja,Moja knjižnica,2
Writer,Der Schriftsteller,Die Schriftsteller,Der,Schriftsteller,pisac,0,moj,Moj pisac,2
Peace,Der Frieden,-,Der,Frieden,mir,0,moj,Moj mir,2
Touch,Die Berührung,Die Berührungen,Die,Berührung,dodir,0,moj,Moj dodir,2
Pot,Der Topf,Die Töpfe,Der,Topf,lonac,0,moj,Moj lonac,2
Cause,Die Ursache,Die Ursachen,Die,Ursache,cilj,0,moj,Moj cilj,2
Rope,Das Seil,Die Seile,Das,Seil,uže,2,moje,Moje uže,2
Muscle,Der Muskel,Die Muskeln,Der,Muskel,mišić,0,moj,Moj mišić,2
Curtain,Der Vorhang,Die Vorhänge,Der,Vorhang,zavjesa,1,moja,Moja zavjesa,2
Meal,Die Mahlzeit,Die Mahlzeiten,Die,Mahlzeit,obrok,0,moj,Moj obrok,2
Act,Der Akt,Die Akte,Der,Akt,golotinja,1,moja,Moja golotinja,2
Wolf,Der Wolf,Die Wölfe,Der,Wolf,vuk,0,moj,Moj vuk,2
Cabin,Die Kabine,Die Kabinen,Die,Kabine,kabina,1,moja,Moja kabina,2
Charge,Die Gebühr,Die Gebühren,Die,Gebühr,naknada,1,moja,Moja naknada,2
Passenger,Der Passagier,Die Passagiere,Der,Passagier,suvozač,0,moj,Moj suvozač,2
Use,Die Verwendung,Die Verwendungen,Die,Verwendung,upotreba,1,moja,Moja upotreba,2
Traffic,Der Verkehr,-,Der,Verkehr,promet,0,moj,Moj promet,2
Relief,Die Erleichterung,-,Die,Erleichterung,olakšanje,2,moje,Moje olakšanje,2
Cap,Die Mütze,Die Mützen,Die,Mütze,kapa,1,moja,Moja kapa,2
Pack,Das Pack,Die Packs,Das,Pack,paket,0,moj,Moj paket,2
Weekend,Das Wochenende,Die Wochenenden,Das,Wochenende,vikend,0,moj,Moj vikend,2
Stand,Der Stand,Die Stände,Der,Stand,štand,0,moj,Moj štand,2
Elevator,Der Aufzug,Die Aufzüge,Der,Aufzug,dizalo,2,moje,Moje dizalo,2
Birthday,Der Geburtstag,Die Geburtstage,Der,Geburtstag,rođendan,0,moj,Moj rođendan,2
Lily,Die Lilie,Die Lilien,Die,Lilie,ljiljan,0,moj,Moj ljiljan,2
Iron,Das Eisen,Die Eisen,Das,Eisen,željezo,2,moje,Moje željezo,2
Eyebrow,Die Augenbraue,Die Augenbrauen,Die,Augenbraue,obrva,1,moja,Moja obrva,2
Speed,Die Geschwindigkeit,Die Geschwindigkeiten,Die,Geschwindigkeit,brzina,1,moja,Moja brzina,2
Skirt,Der Rock,Die Röcke,Der,Rock,suknja,1,moja,Moja suknja,2
Square,Das Quadrat,Die Quadrate,Das,Quadrat,trg,0,moj,Moj trg,2
Drive,Die Fahrt,Die Fahrten,Die,Fahrt,vožnja,1,moja,Moja vožnja,2
English,Das Englisch,-,Das,Englisch,engleski,0,moj,Moj engleski,2
Tower,Der Turm,Die Türme,Der,Turm,toranj,0,moj,Moj toranj,2
Battle,Die Schlacht,Die Schlachten,Die,Schlacht,bitka,1,moja,Moja bitka,2
Race,Das Rennen,Die Rennen,Das,Rennen,utrka,1,moja,Moja utrka,2
Shock,Der Schock,Die Schocks,Der,Schock,šok,0,moj,Moj šok,2
Section,Die Sektion,Die Sektionen,Die,Sektion,odjeljak,0,moj,Moj odjeljak,2
Sword,Das Schwert,Die Schwerter,Das,Schwert,mač,0,moj,Moj mač,2
Stick,Der Stock,Die Stöcke,Der,Stock,štap,0,moj,Moj štap,2
File,Die Datei,Die Dateien,Die,Datei,dosje,0,moj,Moj dosje,2
Bread,Das Brot,-,Das,Brot,kruh,0,moj,Moj kruh,2
Oil,Das Öl,-,Das,Öl,ulje,2,moje,Moje ulje,2
Chain,Die Kette,Die Ketten,Die,Kette,ogrlica,1,moja,Moja ogrlica,2
Department,Die Abteilung,Die Abteilungen,Die,Abteilung,odjel,0,moj,Moj odjel,2
Project,Das Projekt,Die Projekte,Das,Projekt,projekt,0,moj,Moj projekt,2
Murder,Der Mord,Die Morde,Der,Mord,ubojstvo,2,moje,Moje ubojstvo,2
Bear,Der Bär,Die Bären,Der,Bär,medvjed,0,moj,Moj medvjed,2
Test,Der Test,Die Tests,Der,Test,test,0,moj,Moj test,2
Visit,Der Besuch,Die Besuche,Der,Besuch,posjet,0,moj,Moj posjet,2
Milk,Die Milch,-,Die,Milch,mlijeko,2,moje,Moje mlijeko,2
Boss,Der Chef,Die Chefs,Der,Chef,šef,0,moj,Moj šef,2
Elbow,Der Ellenbogen,Die Ellenbogen,Der,Ellenbogen,lakat,0,moj,Moj lakat,2
Desire,Das Verlangen,-,Das,Verlangen,želja,1,moja,Moja želja,2
Patient,Der Patient,Die Patienten,Der,Patient,pacijent,0,moj,Moj pacijent,2
Price,Der Preis,Die Preise,Der,Preis,cijena,1,moja,Moja cijena,2
Knowledge,Das Wissen,-,Das,Wissen,znanje,2,moje,Moje znanje,2
Beginning,Der Anfang,Die Anfänge,Der,Anfang,početak,0,moj,Moj početak,2
Cold,Die Kälte,-,Die,Kälte,hladnoća,1,moja,Moja hladnoća,2
Closet,Der Schrank,Die Schränke,Der,Schrank,ormar,0,moj,Moj ormar,2
Dawn,Die Morgendämmerung,Die Morgendämmerungen,Die,Morgendämmerung,zora,1,moja,Moja zora,2
Temple,Der Tempel,Die Tempel,Der,Tempel,hram,0,moj,Moj hram,2
Joy,Die Freude,-,Die,Freude,radost,1,moja,Moja radost,2
Duty,Die Pflicht,Die Pflichten,Die,Pflicht,dužnost,1,moja,Moja dužnost,2
Practice,Die Übung,Die Übungen,Die,Übung,vježba,1,moja,Moja vježba,2
Valley,Das Tal,Die Täler,Das,Tal,dolina,1,moja,Moja dolina,2
Wire,Das Kabel,Die Kabel,Das,Kabel,kabel,0,moj,Moj kabel,2
Jeans,Die Jeans,-,Die,Jeans,traperice,2,moje,Moje traperice,2
Kiss,Der Kuss,Die Küsse,Der,Kuss,poljubac,0,moj,Moj poljubac,2
Jaw,Der Kiefer,Die Kiefer,Der,Kiefer,čeljust,1,moja,Moja čeljust,2
Run,Der Lauf,Die Läufe,Der,Lauf,trčanje,2,moje,Moje trčanje,2
Relationship,Die Beziehung,Die Beziehungen,Die,Beziehung,veza,1,moja,Moja veza,2
Object,Das Objekt,Die Objekte,Das,Objekt,objekt,0,moj,Moj objekt,2
Attack,Der Angriff,Die Angriffe,Der,Angriff,napad,0,moj,Moj napad,2
Highway,Die Autobahn,Die Autobahnen,Die,Autobahn,autocesta,1,moja,Moja autocesta,2
Crime,Das Verbrechen,Die Verbrechen,Das,Verbrechen,zločin,0,moj,Moj zločin,2
White,Das Weiß,-,Das,Weiß,bijela,1,moja,Moja bijela,2
Partner,Der Partner,Die Partner,Der,Partner,partner,0,moj,Moj partner,2
Priest,Der Priester,Die Priester,Der,Priester,svećenik,0,moj,Moj svećenik,2
Lawn,Der Rasen,Die Rasen,Der,Rasen,travnjak,0,moj,Moj travnjak,2
Trunk,Der Stamm,Die Stämme,Der,Stamm,pleme,2,moje,Moje pleme,2
Cry,Das Weinen,Die Weinen,Das,Weinen,plač,0,moj,Moj plač,2
Program,Das Programm,Die Programme,Das,Programm,program,0,moj,Moj program,2
Shelf,Das Regal,Die Regale,Das,Regal,polica,1,moja,Moja polica,2
Steel,Der Stahl,-,Der,Stahl,čelik,0,moj,Moj čelik,2
Sidewalk,Der Bürgersteig,Die Bürgersteige,Der,Bürgersteig,pločnik,0,moj,Moj pločnik,2
Uniform,Die Uniform,Die Uniformen,Die,Uniform,uniforma,1,moja,Moja uniforma,2
Pattern,Das Muster,Die Muster,Das,Muster,uzorak,0,moj,Moj uzorak,2
Evidence,Der Beweis,Die Beweise,Der,Beweis,dokaz,0,moj,Moj dokaz,2
Player,Der Spieler,Die Spieler,Der,Spieler,igrač,0,moj,Moj igrač,2
Novel,Der Roman,Die Romane,Der,Roman,roman,0,moj,Moj roman,2
Pillow,Das Kissen,Die Kissen,Das,Kissen,jastuk,0,moj,Moj jastuk,2
Lamp,Die Lampe,Die Lampen,Die,Lampe,svjetiljka,1,moja,Moja svjetiljka,2
Drawer,Die Schublade,Die Schubladen,Die,Schublade,ladica,1,moja,Moja ladica,2
Danger,Die Gefahr,Die Gefahren,Die,Gefahr,opasnost,1,moja,Moja opasnost,2
Detective,Der Detektiv,Die Detektive,Der,Detektiv,detektiv,0,moj,Moj detektiv,2
Thinking,Das Denken,-,Das,Denken,razmišljanje,2,moje,Moje razmišljanje,2
Crack,Der Riss,Die Risse,Der,Riss,pukotina,1,moja,Moja pukotina,2
Prayer,Das Gebet,Die Gebete,Das,Gebet,molitva,1,moja,Moja molitva,2
Towel,Das Handtuch,Die Handtücher,Das,Handtuch,ručnik,0,moj,Moj ručnik,2
Glove,Der Handschuh,Die Handschuhe,Der,Handschuh,rukavica,1,moja,Moja rukavica,2
Bay,Die Bucht,Die Buchten,Die,Bucht,zaljev,0,moj,Moj zaljev,2
Can,Die Dose,Die Dosen,Die,Dose,limenka,1,moja,Moja limenka,2
Waist,Die Taille,Die Taillen,Die,Taille,struk,0,moj,Moj struk,2
Pressure,Der Druck,Die Drücke,Der,Druck,ispis,0,moj,Moj ispis,2
Sink,Das Waschbecken,Die Waschbecken,Das,Waschbecken,sudoper,0,moj,Moj sudoper,2
Return,Die Rückkehr,Die Rückkehr,Die,Rückkehr,povratak,0,moj,Moj povratak,2
Breeze,Die Brise,Die Brisen,Die,Brise,povjetarac,0,moj,Moj povjetarac,2
Taste,Der Geschmack,Die Geschmäcker,Der,Geschmack,ukus,0,moj,Moj ukus,2
Stream,Der Strom,Die Ströme,Der,Strom,struja,1,moja,Moja struja,2
Result,Das Ergebnis,Die Ergebnisse,Das,Ergebnis,rezultat,0,moj,Moj rezultat,2
Author,Der Autor,Die Autoren,Der,Autor,autor,0,moj,Moj autor,2
Tip,Der Tipp,Die Tipps,Der,Tipp,savjet,0,moj,Moj savjet,2
Shower,Die Dusche,Die Duschen,Die,Dusche,tuš,0,moj,Moj tuš,2
Season,Die Jahreszeit,Die Jahreszeiten,Die,Jahreszeit,sezona,1,moja,Moja sezona,2
Half,Die Hälfte,Die Hälften,Die,Hälfte,polovica,1,moja,Moja polovica,2
Fool,Der Narr,Die Narren,Der,Narr,budala,1,moja,Moja budala,2
Tunnel,Der Tunnel,Die Tunnel,Der,Tunnel,tunel,0,moj,Moj tunel,2
Client,Der Kunde,Die Kunden,Der,Kunde,kupac,0,moj,Moj kupac,2
Garage,Die Garage,Die Garagen,Die,Garage,garaža,1,moja,Moja garaža,2
Mission,Die Mission,Die Missionen,Die,Mission,misija,1,moja,Moja misija,2
Bullet,Die Kugel,Die Kugeln,Die,Kugel,metak,0,moj,Moj metak,2
Market,Der Markt,Die Märkte,Der,Markt,tržnica,1,moja,Moja tržnica,2
Loss,Der Verlust,Die Verluste,Der,Verlust,gubitak,0,moj,Moj gubitak,2
Pen,Der Stift,Die Stifte,Der,Stift,olovka,1,moja,Moja olovka,2
Term,Der Begriff,Die Begriffe,Der,Begriff,mandat,0,moj,Moj mandat,2
Prince,Der Prinz,Die Prinzen,Der,Prinz,princ,0,moj,Moj princ,2
Lock,Das Schloss,Die Schlösser,Das,Schloss,dvorac,0,moj,Moj dvorac,2
Reality,Die Realität,Die Realitäten,Die,Realität,stvarnost,1,moja,Moja stvarnost,2
Snake,Die Schlange,Die Schlangen,Die,Schlange,zmija,1,moja,Moja zmija,2
Apple,Der Apfel,Die Äpfel,Der,Apfel,jabuka,1,moja,Moja jabuka,2
Mask,Die Maske,Die Masken,Die,Maske,maska,1,moja,Moja maska,2
Birth,Die Geburt,Die Geburten,Die,Geburt,rođenje,2,moje,Moje rođenje,2
Wonder,Das Wunder,Die Wunder,Das,Wunder,čudo,2,moje,Moje čudo,2
Tank,Der Panzer,Die Panzer,Der,Panzer,tenk,0,moj,Moj tenk,2
Staff,Das Personal,-,Das,Personal,osoblje,2,moje,Moje osoblje,2
Lie,Die Lüge,Die Lügen,Die,Lüge,laž,1,moja,Moja laž,2
Faith,Der Glaube,-,Der,Glaube,vjera,1,moja,Moja vjera,2
Cream,Die Sahne,-,Die,Sahne,krema,1,moja,Moja krema,2
Victim,Das Opfer,Die Opfer,Das,Opfer,žrtva,1,moja,Moja žrtva,2
Possibility,Die Möglichkeit,Die Möglichkeiten,Die,Möglichkeit,opcija,1,moja,Moja opcija,2
Contact,Der Kontakt,Die Kontakte,Der,Kontakt,kontakt,0,moj,Moj kontakt,2
Mood,Die Stimmung,Die Stimmungen,Die,Stimmung,raspoloženje,2,moje,Moje raspoloženje,2
Thumb,Der Daumen,Die Daumen,Der,Daumen,palac,0,moj,Moj palac,2
Reading,Das Lesen,-,Das,Lesen,čitanje,2,moje,Moje čitanje,2
Candle,Die Kerze,Die Kerzen,Die,Kerze,svijeća,1,moja,Moja svijeća,2
Cave,Die Höhle,Die Höhlen,Die,Höhle,špilja,1,moja,Moja špilja,2
Post,Die Post,-,Die,Post,post,0,moj,Moj post,2
Prison,Das Gefängnis,Die Gefängnisse,Das,Gefängnis,zatvor,0,moj,Moj zatvor,2
Emotion,Die Emotion,Die Emotionen,Die,Emotion,emocija,1,moja,Moja emocija,2
Leader,Der Führer,Die Führer,Der,Führer,vodič,0,moj,Moj vodič,2
Degree,Der Abschluss,Die Abschlüsse,Der,Abschluss,diploma,1,moja,Moja diploma,2
Feature,Das Merkmal,Die Merkmale,Das,Merkmal,značajka,1,moja,Moja značajka,2
Ticket,Die Eintrittskarte,Die Eintrittskarten,Die,Eintrittskarte,karta,1,moja,Moja karta,2
Alien,Das Alien,Die Aliens,Das,Alien,vanzemaljac,0,moj,Moj vanzemaljac,2
Desert,Die Wüste,Die Wüsten,Die,Wüste,pustinja,1,moja,Moja pustinja,2
Cut,Der Schnitt,Die Schnitte,Der,Schnitt,rez,0,moj,Moj rez,2
Mess,Das Durcheinander,-,Das,Durcheinander,nered,0,moj,Moj nered,2
Warning,Die Warnung,Die Warnungen,Die,Warnung,upozorenje,2,moje,Moje upozorenje,2
Tale,Das Märchen,Die Märchen,Das,Märchen,bajka,1,moja,Moja bajka,2
Funeral,Die Beerdigung,Die Beerdigungen,Die,Beerdigung,sprovod,0,moj,Moj sprovod,2
Cab,Das Taxi,Die Taxis,Das,Taxi,taksi,0,moj,Moj taksi,2
Reporter,Der Reporter,Die Reporter,Der,Reporter,reporter,0,moj,Moj reporter,2
Theater,Das Theater,Die Theater,Das,Theater,kazalište,2,moje,Moje kazalište,2
Length,Die Länge,-,Die,Länge,duljina,1,moja,Moja duljina,2
Mud,Der Schlamm,-,Der,Schlamm,blato,2,moje,Moje blato,2
Science,Die Wissenschaft,-,Die,Wissenschaft,znanost,1,moja,Moja znanost,2
Drop,Der Tropfen,Die Tropfen,Der,Tropfen,kap,1,moja,Moja kap,2
Speech,Die Rede,Die Reden,Die,Rede,govor,0,moj,Moj govor,2
Copy,Das Exemplar,Die Exemplare,Das,Exemplar,primjerak,0,moj,Moj primjerak,2
Cow,Die Kuh,Die Kühe,Die,Kuh,krava,1,moja,Moja krava,2
Worker,Der Arbeiter,Die Arbeiter,Der,Arbeiter,radnik,0,moj,Moj radnik,2
