english,x,y
Turkey,gall,0
Preacher,predicador,0
Possession,possessió,1
Dolly,camió,0
Heap,munt,0
Photographer,fotògraf,0
Brake,frens,0
Apron,davantal,0
Jury,jurat,0
Hearing,audiència,1
Gray,gris,0
Method,mètode,0
Reference,referència,1
Disgust,fàstic,0
Liquor,aiguardent,0
Lipstick,pintallavis,0
Core,nucli,0
Individual,individu,0
Container,contenidor,0
Sunglasses,ullera,1
Concert,concert,0
Railroad,ferrocarril,0
Parade,desfilada,1
Compartment,compartiment,0
Resident,resident,0
Oven,forn,0
Technician,tècnic,0
Procedure,procediment,0
Fighter,lluitador,0
Grain,gra,0
Picnic,pícnic,0
Meadow,prat,0
Poison,verí,0
Buffalo,búfal,0
Region,regió,1
Production,producció,1
Running,córrer,0
Loop,bucle,0
Sleeping,dormir,0
Soda,llimonada,1
Owl,mussol,0
Menu,menú,0
Kick,puntada,1
Ruin,ruïna,1
Ramp,rampa,1
Streak,ratlles,1
Forearm,avantbraç,0
Knuckle,articulació,1
Goose,oca,1
Fairy,fada,1
Brand,marca,1
Organ,orgue,0
Butterfly,papallona,1
Empire,imperi,0
Profile,perfil,0
Disbelief,incredulitat,1
Grove,grove,0
Shield,escut,0
Saddle,sella,1
Odds,possiblitat,1
Cluster,clúster,0
Satellite,satèl·lit,0
Trigger,desencadenant,0
Puppy,cadell,0
Waiting,esperar,0
Bulb,bombeta,1
Dresser,calaixera,1
Patrol,patrulla,1
Eagle,àguila,1
Privacy,privacitat,1
Herd,ramat,0
Amusement,entreteniment,1
Tobacco,tabac,0
Tattoo,tatuatge,0
Slide,tobogan,0
Bond,vincle,0
Swimming,natació,1
Foundation,fundació,1
Injury,lesió,1
League,lliga,1
Battery,bateria,1
Umbrella,paraigua,0
Emperor,emperador,0
Pier,moll,0
Tap,aixeta,1
Cutter,tallador,0
Attic,àtic,0
Tiger,tigre,0
Ancestor,avantpassat,0
Concentration,concentració,1
Blessing,benedicció,1
Torch,torxa,1
Ink,tinta,1
Rent,lloguer,0
Mule,mula,1
Environment,medi,0
Inspector,inspector,0
Complaint,denúncia,1
Portion,porció,1
Chuck,servir,0
Clearing,clariana,1
Crisis,crisi,1
Necklace,collaret,0
Wealth,riquesa,1
Civilization,civilització,1
Concept,concepte,0
Lamb,anyell,0
Cuff,punyal,0
Virgin,verge,1
Squirrel,esquirol,0
Starling,estornel,0
Depression,depressió,1
Storage,emmagatzematge,0
Altar,altar,0
Tragedy,tragèdia,1
Resource,recurs,0
Traveler,viatger,0
Kingdom,regne,0
Musician,músic,0
Elf,elf,0
Protest,protesta,1
Aspect,aspecte,0
Dial,esfera,1
Slipper,sabatilla,1
Actress,actriu,1
Shooting,tir,0
Earring,arracada,1
Ant,formiga,1
Patty,panet,0
Sauce,salsa,1
Intensity,intensitat,1
Ditch,rasa,1
Daisy,margarida,1
Chapel,capella,1
Swamp,pantà,0
Guess,conjectura,1
Crane,grua,1
Sequence,seqüència,1
Fragment,fragment,0
Draft,elaboració,1
Function,funció,1
Organization,organització,1
Skeleton,esquelet,0
Misery,misèria,1
Stump,soca,1
Stake,que,0
Puff,buf,0
Creation,creació,1
Wake,despertar,0
Wizard,mag,0
Mat,estora,1
Seal,segell,0
Grunt,grunyit,0
Punishment,càstig,0
Clan,clan,0
Copper,coure,0
Debris,brossa,1
Painter,pintor,0
Math,matemàtica,1
Recognition,reconeixement,0
Regret,penediment,0
Mill,molí,0
Romance,romanç,0
Patio,terrassa,1
Shovel,pala,1
Pajamas,pijama,0
Pigeon,colom,0
Dinosaur,dinosaure,0
Industry,indústria,1
Operator,operador,0
Counselor,consultor,0
Drama,drama,0
Chick,pollet,0
Chart,diagrama,0
Campaign,campanya,1
Laurel,llorer,0
Steak,bistec,0
Criminal,criminal,0
Bruise,contusió,1
Sweetheart,més,0
Opera,òpera,1
Frost,congelat,0
Nipple,mugró,0
Weakness,debilitat,1
Butcher,carnisser,0
Cube,cub,0
Hollow,buit,0
Hay,fenc,0
Bark,escorça,1
Survival,supervivència,1
Bunk,llitera,1
Approval,consentiment,0
Division,divisió,1
Cocktail,còctel,0
Contest,competició,1
Paradise,paradís,0
Razor,navalla,1
Catch,captura,1
Puddle,bassal,0
Onion,ceba,1
Laser,làser,0
Influence,influència,1
Jump,salt,0
Cement,ciment,0
Amber,ambre,0
Goddess,deessa,1
Braid,trena,1
Dignity,dignitat,1
Lemon,llimona,1
Clown,pallasso,0
Destruction,destrucció,1
Exception,excepció,1
Peach,préssec,0
Release,alliberament,0
Spy,espia,0
Bra,sostenidor,0
Remains,resta,1
Logic,lògica,1
Pitcher,gerra,1
Perspective,perspectiva,1
Crop,collita,1
Graduate,graduat,0
Survivor,supervivent,0
Payment,pagament,0
Revenge,venjança,1
Ginger,gingebre,0
Surgeon,cirurgià,0
Sandal,sandàlia,1
Hatred,odi,0
Departure,descens,0
Outline,contorn,0
Runner,corredor,0
Anticipation,anticipació,1
Translation,traducció,1
Headquarters,seu,1
Celebration,celebració,1
Agony,agonia,1
Terminal,terminal,0
Expectation,expectativa,1
Pasture,pastures,0
Console,consola,1
Strike,vaga,1
Rescue,rescat,0
Badge,insígnia,1
Puzzle,enigma,1
Charity,caritat,1
Applause,aplaudiment,0
Philosophy,filosofia,1
Nephew,nebot,0
Essay,assaig,0
Repair,reparacions,1
Mix,barreja,1
Barrier,barrera,1
Goodness,bondat,1
Scout,escolta,0
Microphone,micròfon,0
Label,etiqueta,1
Pepper,pebre,0
Coyote,coiot,0
Vest,armilla,1
Pony,poni,0
Donkey,ase,0
Cycle,cicle,0
Gasp,panteix,0
Irony,ironia,1
Award,premi,0
Grape,raïm,0
Hesitation,vacil·lació,1
Tavern,taverna,1
Sail,vela,1
Silhouette,silueta,1
Institute,institut,0
Liar,mentider,0
Technique,tècnica,1
Index,índex,0
Plank,tauló,0
Jerk,ruc,0
Growth,creixement,0
Stocking,mitja,1
Bracelet,polsera,1
Jelly,melmelada,1
Diet,dieta,1
Concrete,formigó,0
Contrast,contrast,0
Banner,pancarta,1
Resistance,resistència,1
Stay,estada,1
Posture,actitud,1
Vodka,vodka,0
Album,àlbum,0
Era,època,1
Acquaintance,conegut,0
Revolution,revolució,1
Nap,migdiada,1
Veil,vel,0
Holly,grèvol,0
Appetite,gana,1
Ivy,heura,1
Niece,neboda,1
Galaxy,galàxia,1
Madness,boig,0
Baker,forner,0
Virus,virus,0
Suffering,patiment,0
Slot,ranura,1
Folder,carpeta,1
Confession,confessió,1
Porter,porter,0
Dessert,postres,1
Dump,abocador,0
Profit,benefici,0
Grandchild,nét,0
Gossip,xafarderia,1
Mare,euga,1
Broom,escombra,1
Hoof,peülla,1
Sensor,sensor,0
Scholar,erudit,0
Therapy,teràpia,1
Peanut,cacauet,0
Headline,titular,0
Bacon,cansalada,1
Violin,violí,0
Plague,pesta,1
Blur,difuminació,1
Deacon,diaca,0
Arrest,detenció,1
Banana,plàtan,0
Gin,ginebra,1
Shark,tauró,0
Preparation,preparació,1
Scratch,ratllades,1
Dressing,vestir,0
Signature,signatura,1
Admiral,almirall,0
Analysis,anàlisi,1
Lizard,llangardaix,0
Stress,estrès,0
Homework,deures,0
Conviction,condemna,1
Rover,rover,0
Wren,trogloteig,0
Expedition,expedició,1
Reward,recompensa,1
Residence,residència,1
Baron,baró,0
Complex,complex,0
Candidate,candidat,0
Triumph,triomf,0
Twist,gir,0
Sketch,esbós,0
Heartbeat,batecs,0
Cafeteria,cafeteria,1
Maze,laberint,0
Fisherman,pescador,0
Hum,brunzit,0
Kitten,gatet,0
Substance,substància,1
Dagger,daga,1
Con,vertigen,0
Loneliness,solitud,1
Motorcycle,moto,1
Peer,companys,0
Insult,insult,0
Capacity,capacitat,1
Awe,admiració,1
Chili,xili,0
Lodge,lògia,1
Clip,clip,0
Limo,limusina,1
Mosquito,mosquit,0
Shake,sacsejada,1
Casino,casino,0
Pea,pèsol,0
Murmur,murmuri,0
Conflict,conflicte,0
Stem,tija,1
Sob,sanglot,0
Pregnancy,embaràs,0
Suspect,sospitós,0
Coincidence,coincidència,1
Ranger,ranger,0
Cartoon,dibuixos,0
Kindness,amabilitat,1
Cruiser,creuer,0
Cheer,crits,0
Cone,con,0
Circuit,circuit,0
Ivory,ivori,0
Carpenter,fuster,0
Bum,vagabund,0
Reservation,reserva,1
Groan,gemecs,0
Academy,acadèmia,1
Longing,enyorança,0
Kip,kip,0
Drill,trepant,0
Luggage,equipatge,0
Canopy,marquesina,1
Virtue,virtut,1
Anchor,àncora,1
Harmony,harmonia,1
Maple,auró,0
Throne,tron,0
Application,aplicació,1
Physics,física,1
Neon,neó,0
Fatigue,fatiga,1
Manuscript,manuscrit,0
Memorial,monument,0
Japanese,japonesos,0
Engineering,enginyeria,1
Left,esquerra,1
Bronze,bronze,0
Association,associació,1
Fleet,flota,1
Marker,marcador,0
Episode,episodi,0
Origin,origen,0
Cathedral,catedral,1
Down,baix,0
Continent,continent,0
Volunteer,voluntari,0
Mention,menció,1
Giggle,rialla,1
Cleaning,neteja,1
Receptionist,recepcionista,1
Caller,cridaner,0
Pursuit,persecució,1
Contempt,menyspreu,0
Threshold,llindar,0
Deed,escriptura,1
Artifact,artefacte,0
Italian,italià,0
Eternity,eternitat,1
Slate,pissarra,1
Motive,motiu,0
Mechanic,mecànic,0
Ally,aliat,0
Vase,gerro,0
Salesman,venedor,0
Therapist,terapeuta,0
Maverick,solitari,0
Ham,pernil,0
Carter,carter,0
Investment,inversió,1
Innocence,innocència,1
Calendar,calendari,0
Revelation,revelació,1
Pancake,crep,1
Asteroid,asteroide,0
Postcard,postal,1
Determination,disposició,1
Tractor,tractor,0
Berry,baia,1
Introduction,introducció,1
Butler,majordom,0
Cough,tos,1
Granite,granit,0
Ambassador,ambaixadors,0
Sitting,seure,0
Compliment,compliment,0
Doorbell,timbre,0
Certainty,certesa,1
Politician,polític,0
Gratitude,gratitud,1
Plaster,guix,0
Settlement,assentament,0
Chop,aixades,1
Homicide,homicidi,0
Aluminum,alumini,0
Pupil,estudiant,0
Profession,professió,1
Retreat,retir,0
Intersection,cruïlles,0
Scheme,esquema,0
Publisher,editor,0
Circus,circ,0
Dimension,dimensió,1
Zoo,zoo,0
Messenger,missatger,0
Tangle,embolic,0
Strategy,estratègia,1
Businessman,empresari,0
Drain,desguàs,0
Strawberry,maduixa,1
Binoculars,prismàtics,0
Discipline,disciplina,1
Hedge,bardissa,1
Moan,gemec,0
Income,ingrés,0
Myth,mite,0
Shutter,tancament,0
Raft,bassa,1
Ambition,ambició,1
Camel,camell,0
Beating,pallissa,1
Acid,àcid,0
Internet,internet,0
Cockpit,cabina,1
Wreck,naufragi,0
Wig,perruca,1
Rein,regnes,1
Recorder,flauta,1
Exam,examen,0
Courtesy,cortesia,1
Cheekbone,pòmuls,0
Whip,fuet,0
Pilgrim,pelegrí,0
Collapse,col·lapse,0
Faculty,facultat,1
Sage,savi,0
Asphalt,asfalt,0
Privilege,privilegi,0
Maintenance,manteniment,0
Orchard,hort,0
Cot,bressol,0
Lighter,encenedor,0
Snack,berenar,0
Talking,parlar,0
Sculpture,escultura,1
Sum,suma,1
Carrot,pastanaga,1
Radar,radar,0
Designer,dissenyador,0
Surge,empenta,1
Heir,hereu,0
Vault,volta,1
Sissy,memme,0
Native,nadius,0
Lovemaking,acte,0
Aide,ajudant,0
Bulk,massa,1
Poker,pòquer,0
Lime,llima,1
Surveillance,seguiment,0
Assembly,assemblea,1
Carrier,transportista,0
Engagement,compromís,0
Kin,familiar,0
Fit,ajust,0
Farmhouse,masia,1
Foam,escuma,1
Tug,remolcadors,0
Journalist,periodista,0
Recording,enregistrament,0
Cure,curació,1
Scissors,tisores,1
Resort,resort,0
Opponent,oponent,0
Hurricane,huracà,0
Mushroom,bolet,0
Keyboard,teclat,0
Cedar,cedre,0
Jasmine,gessamí,0
Armchair,butaca,1
Attraction,atracció,1
Blind,persianes,1
Cylinder,cilindre,0
Swallow,oreneta,1
Celebrity,celebritat,1
Triangle,triangle,0
Stench,pudor,1
Array,matriu,1
Retirement,jubilació,1
Ski,esquís,0
Supervisor,superior,0
Expanse,immensitat,1
Moss,molsa,1
Loyalty,fidelitat,1
Lavender,canyella,1
Pardon,perdó,0
Ashtray,cendrer,0
Shard,fragments,0
Distraction,distracció,1
Majesty,majestat,1
Pyramid,piràmide,1
Distress,relaxació,1
Independence,independència,1
Crush,eixam,0
Chuckle,rialles,1
Dime,deu,0
Gust,ràfega,1
Russian,russos,0
Foreigner,estranger,0
Salary,sou,0
Scope,abast,0
Rebel,rebel,0
Thug,raqueta,1
Tomb,tombes,1
Socket,sòcol,0
Refugee,refugiat,0
Phase,fase,1
Pumpkin,carbassa,1
Thorn,espina,1
Hide,amagatall,0
Sausage,botifarra,1
Dig,lupfer,0
Tan,bronzejat,0
Loan,préstec,0
Spike,picada,1
Crumb,molla,1
Wax,cera,1
Rental,lloguers,0
Flora,flora,1
Festival,festival,0
Debate,debat,0
Critic,crític,0
Cast,càsting,0
Loft,loft,0
Commission,comissió,1
Flicker,parpelleig,0
Economy,economia,1
Radiation,radiació,1
Bodyguard,guardaespatlles,0
Realization,realització,1
Crater,cràter,0
Congress,congrés,0
Fry,rostit,0
Shiver,tremolor,0
Obligation,obligació,1
Loser,perdedor,0
Wink,ullet,0
Pebble,còdol,0
Workshop,seminari,0
Exhaustion,esgotament,0
Double,doble,0
Comb,pinta,1
Finish,acabat,0
Interval,interval,0
Splash,esquitxada,1
Convention,convenció,1
Pose,postura,1
Ram,moltó,0
Gentry,noblesa,1
Seam,costura,1
Punk,punk,0
Bluff,bluff,0
Dune,duna,1
Dentist,dentista,0
Refuge,refugi,0
Satin,setí,0
Spread,distribució,1
Mailbox,bústia,1
Hiss,xiulet,0
Local,locals,0
Flour,farina,1
Sweet,dolçor,1
Orphan,orfe,0
Chess,escac,0
Petal,pètal,0
Paperwork,treball,0
Psychiatrist,psiquiatre,0
Interrupt,interrupció,1
Freezer,congelador,0
Illustration,il·lustració,1
Stew,guisat,0
Investigator,investigador,0
Suburb,suburbi,0
Holster,funda,1
Factor,factor,0
Intimacy,intimitat,1
Saving,estalvi,0
Software,programari,0
Birch,bedoll,0
Nursery,habitacions,1
Transport,transport,0
Definition,definició,1
Plum,pruna,1
Delay,retard,0
Inspection,inspecció,1
Cannon,canó,0
Praise,elogi,0
Penguin,pingüí,0
Torture,tortura,1
Particle,partícula,1
Translator,traductor,0
Freeze,congelació,1
Panties,briefs,0
Consideration,consideració,1
Spit,escopir,0
Cooler,refrigerador,0
Grill,graella,1
Nickname,sobrenom,0
Revolver,revòlver,0
Pike,lluç,0
Terrorist,terrorista,0
Beak,bec,0
Institution,institució,1
Comparison,comparació,1
Maker,fabricant,0
Sibling,germans,0
Wardrobe,armari,0
Flap,solapa,1
Sole,sola,1
Ego,ego,0
Antenna,antena,1
Cricket,grill,0
Troll,troll,0
Bookstore,llibreria,1
Coming,arribada,1
Objection,objecció,1
Backseat,seient,0
Ignorance,ignorància,1
Extension,extensió,1
Chemical,químic,0
Villager,vilatà,0
Perfection,perfecció,1
Pope,papa,0
Semester,semestre,0
Liver,fetge,0
Urgency,urgència,1
Volcano,volcà,0
Spice,espècia,1
Hostage,ostatge,0
Courthouse,jutjat,0
Salmon,salmó,0
Boxer,boxejador,0
Errand,encàrrec,0
Mechanism,mecanisme,0
Telescope,telescopi,0
Ferry,ferri,0
PasserBy,transeünt,0
Irritation,irritació,1
Coward,covard,0
Howl,udols,0
Hue,tonalitat,1
Discomfort,molèsties,1
Vent,ventilació,1
Canoe,canoa,1
Recipe,recepta,1
Hamburger,hamburguesa,1
Eave,ràfec,0
Barber,perruquer,0
Passing,passada,1
Betrayal,traïció,1
Tentacle,tentacle,0
Surf,surf,0
Plaid,quadre,0
Limp,coixesa,1
Administration,administració,1
Convenience,confort,0
Diaper,bolquer,0
Mole,talp,0
Cleaner,netejador,0
Swell,inflor,1
Scan,exploracions,1
Clarity,claredat,1
Producer,productor,0
Flying,volar,0
Plea,apel·lació,1
Prairie,praderia,1
Passport,passaport,0
Alternative,alternativa,1
Vanity,vanitat,1
Abuse,abús,0
Olive,oliva,1
Miner,miner,0
Backup,còpia,1
Intercom,intèrfon,0
Shawl,drap,0
Announcer,locutor,0
Rubble,runes,1
Axe,destral,1
Transmission,transmissió,1
Aroma,aroma,1
Dialogue,diàleg,0
Roller,patinet,0
Congregation,municipi,0
Terrain,terreny,0
Transfer,trasllat,0
Hardware,maquinari,0
Generator,generador,0
Luxury,luxe,0
Auditorium,auditori,0
Goblin,follet,0
Defeat,derrota,1
Admission,admissió,1
Obsession,obsessió,1
Saw,serra,1
Til,til,0
Stagger,mareig,0
Pussy,cony,0
Collector,col·leccionista,0
Earthquake,terratrèmol,0
Flake,floc,0
Syllable,síl·laba,1
Selection,selecció,1
Vow,vot,0
Granddaughter,néta,1
Symptom,símptoma,0
Riot,agitació,1
Plus,plus,0
Sparrow,pardal,0
Podium,podi,0
Accusation,acusació,1
Dolphin,dofí,0
Kettle,caldera,1
Vet,veterinari,0
Runway,passarel·la,1
Poppy,rosella,1
Lava,lava,1
Inspiration,inspiració,1
Bosom,pits,0
Intruder,intrús,0
Supermarket,supermercat,0
Jealousy,gelosia,1
Marina,porto,0
Belongings,immoble,0
Procession,processó,1
Astronaut,astronauta,0
Recovery,restauració,1
Harness,plats,0
Logo,logotip,0
Litter,llançament,0
Resentment,ressentiment,0
CoOp,cooperativa,1
Gypsy,gitanos,0
Imitation,imitació,1
Phenomenon,fenomen,0
Greek,grec,0
Republic,república,1
Emerald,maragda,1
Bathrobe,barnús,0
Hinge,frontissa,1
Bakery,fleca,1
Context,context,0
Bargain,tracte,0
Saying,proverbi,0
Foreman,capatàs,0
Swan,cigne,0
Flannel,franel·la,1
Learning,aprenentatge,0
Pub,pub,0
Fraction,fracció,1
Trout,truita,1
Glint,flaixos,0
Medal,medalla,1
Perception,percepció,1
Welcome,benvinguda,1
Dictionary,diccionari,0
Metaphor,metàfora,1
Poverty,probresa,1
